date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-22 15:24:17,MH11220108,20108,"DAVIS, Susan A.",112,House,(CA-53),California,CA,53,100,,-0.345,-0.089,0.822,77,1587,-311.415
2017-01-22 15:24:17,MH11220963,20963,"HUNTER, Duncan Duane",112,House,(CA-52),California,CA,52,200,,0.513,0.173,0.827,78,1582,-300.848
2017-01-22 15:24:17,MH11229325,29325,"FILNER, Bob",112,House,(CA-51),California,CA,51,100,,-0.652,0.002,0.903,42,988,-100.65144
2017-01-22 15:24:17,MH11229508,29508,"BILBRAY, Brian P.",112,House,(CA-50),California,CA,50,200,,0.392,-0.376,0.758,164,1384,-383.20407
2017-01-22 15:24:17,MH11220107,20107,"ISSA, Darrell",112,House,(CA-49),California,CA,49,200,,0.51,-0.079,0.839,52,1567,-274.92
2017-01-22 15:24:17,MH11220539,20539,"CAMPBELL, John (of California)",112,House,(CA-48),California,CA,48,200,,0.748,-0.415,0.799,138,1331,-297.99902
2017-01-22 15:24:17,MH11229709,29709,"SANCHEZ, Loretta",112,House,(CA-47),California,CA,47,100,,-0.367,0.025,0.841,104,1307,-226.8276
2017-01-22 15:24:17,MH11215621,15621,"ROHRABACHER, Dana",112,House,(CA-46),California,CA,46,200,,0.628,-0.398,0.78,126,1531,-380.241
2017-01-22 15:24:17,MH11229775,29775,"BONO, Mary",112,House,(CA-45),California,CA,45,200,,0.353,-0.218,0.821,118,1385,-272.49942
2017-01-22 15:24:17,MH11229323,29323,"CALVERT, Ken",112,House,(CA-44),California,CA,44,200,,0.346,0.197,0.848,53,1579,-260.055
2017-01-22 15:24:17,MH11229942,29942,"BACA, Joe",112,House,(CA-43),California,CA,43,100,,-0.349,0.292,0.835,85,1340,-241.24846
2017-01-22 15:24:17,MH11229905,29905,"MILLER, Gary G.",112,House,(CA-42),California,CA,42,200,,0.478,0.222,0.883,74,1338,-166.02919
2017-01-22 15:24:17,MH11214644,14644,"LEWIS, Charles Jeremy (Jerry)",112,House,(CA-41),California,CA,41,200,,0.348,-0.101,0.861,66,1246,-186.97801
2017-01-22 15:24:17,MH11229321,29321,"ROYCE, Edward Randall",112,House,(CA-40),California,CA,40,200,,0.668,-0.367,0.817,92,1588,-320.479
2017-01-22 15:24:17,MH11220310,20310,"SÁNCHEZ, Linda T.",112,House,(CA-39),California,CA,39,100,,-0.504,-0.175,0.836,62,1487,-267.221
2017-01-22 15:24:17,MH11229903,29903,"NAPOLITANO, Grace Flores",112,House,(CA-38),California,CA,38,100,,-0.448,-0.232,0.844,63,1459,-246.907
2017-01-22 15:24:17,MH11220752,20752,"RICHARDSON, Laura",112,House,(CA-37),California,CA,37,100,,-0.339,-0.022,0.795,135,1398,-319.85278
2017-01-22 15:24:17,MH11221195,21195,"HAHN, Janice",112,House,(CA-36),California,CA,36,100,,-0.39,-0.376,0.9,34,812,-85.76862
2017-01-22 15:24:17,MH11229318,29318,"HARMAN, Jane L.",112,House,(CA-36),California,CA,36,100,,-0.262,-0.12,0.767,6,85,-22.52676
2017-01-22 15:24:17,MH11229106,29106,"WATERS, Maxine",112,House,(CA-35),California,CA,35,100,,-0.661,-0.078,0.806,90,1474,-317.961
2017-01-22 15:24:17,MH11229317,29317,"ROYBAL-ALLARD, Lucille",112,House,(CA-34),California,CA,34,100,,-0.472,-0.205,0.853,53,1552,-246.359
2017-01-22 15:24:17,MH11221110,21110,"BASS, Karen",112,House,(CA-33),California,CA,33,100,,-0.547,-0.149,0.843,58,1479,-252.601
2017-01-22 15:24:17,MH11229759,29759,"SESSIONS, Pete",112,House,(TX-32),Texas,TX,32,200,,0.588,0.171,0.854,52,1571,-248.441
2017-01-22 15:24:17,MH11220955,20955,"CHU, Judy",112,House,(CA-32),California,CA,32,100,,-0.505,-0.295,0.844,57,1555,-264.3
2017-01-22 15:24:17,MH11220356,20356,"CARTER, John R.",112,House,(TX-31),Texas,TX,31,200,,0.468,0.609,0.84,73,1562,-272.011
2017-01-22 15:24:17,MH11229316,29316,"BECERRA, Xavier",112,House,(CA-31),California,CA,31,100,,-0.512,-0.283,0.851,63,1542,-249.222
2017-01-22 15:24:17,MH11239305,39305,"JOHNSON, Eddie Bernice",112,House,(TX-30),Texas,TX,30,100,,-0.486,0.206,0.788,114,1526,-363.503
2017-01-22 15:24:17,MH11214280,14280,"WAXMAN, Henry Arnold",112,House,(CA-30),California,CA,30,100,,-0.473,-0.343,0.883,66,1401,-174.19722
2017-01-22 15:24:17,MH11239304,39304,"GREEN, Raymond Eugene (Gene)",112,House,(TX-29),Texas,TX,29,100,,-0.322,0.447,0.622,270,1558,-740.359
2017-01-22 15:24:17,MH11221101,21101,"REED, Thomas W. II",112,House,(NY-29),New York,NY,29,200,,0.304,0.076,0.767,130,1583,-419.193
2017-01-22 15:24:17,MH11220104,20104,"SCHIFF, Adam",112,House,(CA-29),California,CA,29,100,,-0.344,-0.132,0.827,69,1596,-303.021
2017-01-22 15:24:17,MH11220533,20533,"CUELLAR, Henry",112,House,(TX-28),Texas,TX,28,100,,-0.226,0.622,0.677,231,1594,-622.466
2017-01-22 15:24:17,MH11215444,15444,"SLAUGHTER, Louise McIntosh",112,House,(NY-28),New York,NY,28,100,,-0.464,-0.11,0.842,60,1272,-219.413
2017-01-22 15:24:17,MH11215005,15005,"BERMAN, Howard Lawrence",112,House,(CA-28),California,CA,28,100,,-0.404,-0.286,0.851,92,1352,-217.35245
2017-01-22 15:24:17,MH11221184,21184,"FARENTHOLD, Blake",112,House,(TX-27),Texas,TX,27,200,,0.541,0.021,0.819,81,1587,-317.79
2017-01-22 15:24:17,MH11220519,20519,"HIGGINS, Brian",112,House,(NY-27),New York,NY,27,100,,-0.344,-0.031,0.805,88,1567,-340.545
