date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-02-01 05:21:37,MH08605362,5362,"KOWALSKI, Frank",86,House,(CT-00),Connecticut,CT,99,100,,-0.424,-0.032,0.796,20,154,-35.14355
2017-02-01 05:21:37,MH08601252,1252,"BURDICK, Quentin Northrup",86,House,(ND-00),North Dakota,ND,98,100,,-0.371,0.42,0.819,13,161,-32.1801
2017-02-01 05:21:37,MH08608485,8485,"SHORT, Don Levingston",86,House,(ND-00),North Dakota,ND,98,200,,0.366,0.259,0.689,21,153,-56.89978
2017-02-01 05:21:37,MH08606611,6611,"MONTOYA, Joseph Manuel",86,House,(NM-00),New Mexico,NM,98,100,,-0.269,0.288,0.779,15,141,-35.16371
2017-02-01 05:21:37,MH08606717,6717,"MORRIS, Thomas Gayle",86,House,(NM-00),New Mexico,NM,98,100,,-0.227,0.614,0.735,25,142,-43.68721
2017-02-01 05:21:37,MH08607781,7781,"REED, Daniel Alden",86,House,(NY-43),New York,NY,43,200,,0.547,-0.021,,,,
2017-02-01 05:21:37,MH08603670,3670,"GOODELL, Charles Ellsworth",86,House,(NY-43),New York,NY,43,200,,0.253,-0.967,0.621,31,130,-61.98548
2017-02-01 05:21:37,MH08607453,7453,"PILLION, John Raymond",86,House,(NY-42),New York,NY,42,200,,0.348,-0.085,0.696,23,147,-53.24262
2017-02-01 05:21:37,MH08602752,2752,"DULSKI, Thaddeus Joseph",86,House,(NY-41),New York,NY,41,100,,-0.25,0.098,0.62,34,154,-73.59567
2017-02-01 05:21:37,MH08606516,6516,"MILLER, William Edward",86,House,(NY-40),New York,NY,40,200,,0.263,-0.406,0.832,5,146,-26.83959
2017-02-01 05:21:37,MH08607102,7102,"OSTERTAG, Harold Charles",86,House,(NY-39),New York,NY,39,200,,0.236,-0.548,0.821,10,161,-31.71706
2017-02-01 05:21:37,MH08609920,9920,"WEIS, Jessica McCullough",86,House,(NY-38),New York,NY,38,200,,0.206,-0.605,0.786,16,152,-36.6789
2017-02-01 05:21:37,MH08607995,7995,"ROBISON, Howard Winfield",86,House,(NY-37),New York,NY,37,200,,0.263,-0.755,0.75,17,162,-46.59589
2017-02-01 05:21:37,MH08609144,9144,"TABER, John",86,House,(NY-36),New York,NY,36,200,,0.558,-0.04,0.664,27,158,-64.66766
2017-02-01 05:21:37,MH08607901,7901,"RIEHLMAN, Roy Walter",86,House,(NY-35),New York,NY,35,200,,0.197,-0.569,0.767,19,148,-39.32887
2017-02-01 05:21:37,MH08607467,7467,"PIRNIE, Alexander",86,House,(NY-34),New York,NY,34,200,,0.141,-0.251,0.705,25,159,-55.48175
2017-02-01 05:21:37,MH08605235,5235,"KILBURN, Clarence Evans",86,House,(NY-33),New York,NY,33,200,,0.335,0.091,0.653,31,136,-57.91564
2017-02-01 05:21:37,MH08609017,9017,"STRATTON, Samuel Studdiford",86,House,(NY-32),New York,NY,32,100,,-0.139,0.208,0.634,34,159,-72.41629
2017-02-01 05:21:37,MH08609203,9203,"TAYLOR, Dean Park",86,House,(NY-31),New York,NY,31,200,,0.206,-0.53,0.703,16,110,-38.7113
2017-02-01 05:21:37,MH08604518,4518,"HOLLAND, Elmer Joseph",86,House,(PA-30),Pennsylvania,PA,30,100,,-0.479,0.09,0.835,14,155,-27.87005
2017-02-01 05:21:37,MH08607003,7003,"O'BRIEN, Leo William",86,House,(NY-30),New York,NY,30,100,,-0.272,-0.05,0.742,17,138,-41.13033
2017-02-01 05:21:37,MH08610249,10249,"WILSON, Robert Carlton (Bob)",86,House,(CA-30),California,CA,30,200,,0.264,-0.265,0.761,21,151,-41.28672
