date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-19 13:04:34,MS03510462,10462,"YULEE, David Levy",35,Senate,(FL),Florida,FL,0,100,-0.56,0.423,0.711,73,420,-143.00124
2016-10-19 13:04:34,MS03510400,10400,"WRIGHT, William",35,Senate,(NJ),New Jersey,NJ,0,100,-0.093,0.537,0.586,133,462,-247.25218
2016-10-19 13:04:34,MS03510225,10225,"WILSON, Henry",35,Senate,(MA),Massachusetts,MA,0,200,0.33,-0.224,0.791,71,599,-140.31654
2016-10-19 13:04:34,MS03509819,9819,"WARD, Matthias",35,Senate,(TX),Texas,TX,0,100,-0.651,-0.117,0.776,22,242,-61.3868
2016-10-19 13:04:34,MS03509698,9698,"WADE, Benjamin Franklin",35,Senate,(OH),Ohio,OH,0,200,0.563,0.132,0.796,67,604,-137.93782
2016-10-19 13:04:34,MS03509492,9492,"TRUMBULL, Lyman",35,Senate,(IL),Illinois,IL,0,200,0.126,-0.082,0.686,101,585,-220.63503
2016-10-19 13:04:34,MS03509423,9423,"TOOMBS, Robert Augustus",35,Senate,(GA),Georgia,GA,0,100,-0.348,0.938,0.683,100,546,-208.4788
2016-10-19 13:04:34,MS03509352,9352,"THOMSON, John Renshaw",35,Senate,(NJ),New Jersey,NJ,0,100,-0.27,0.067,0.676,65,348,-136.02106
2016-10-19 13:04:34,MS03509330,9330,"THOMPSON, John Burton",35,Senate,(KY),Kentucky,KY,0,310,-0.073,0.745,0.643,35,161,-71.06377
2016-10-19 13:04:34,MS03509083,9083,"SUMNER, Charles",35,Senate,(MA),Massachusetts,MA,0,200,0.339,-0.247,0.883,2,41,-5.09485
2016-10-19 13:04:34,MS03509052,9052,"STUART, Charles Edward",35,Senate,(MI),Michigan,MI,0,100,-0.177,-0.374,0.581,162,563,-305.48818
