date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,log_likelihood,conditional,bioImgURL
2017-01-10 00:09:39,MS11520735,20735,"GILLIBRAND, Kirsten",115,Senate,(NY),New York,NY,0,100,-0.337,0.168,993.674,1,020735.jpg
2017-01-10 00:09:39,MS11520730,20730,"HELLER, Dean",115,Senate,(NV),Nevada,NV,0,200,0.463,-0.47,2216.207,1,020730.jpg
2017-01-10 00:09:39,MS11520717,20717,"DONNELLY, Joe",115,Senate,(IN),Indiana,IN,0,100,-0.117,0.416,2426.5,1,020717.jpg
2017-01-10 00:09:39,MS11520713,20713,"HIRONO, Mazie",115,Senate,(HI),Hawaii,HI,0,100,-0.493,-0.08,1290.196,1,020713.jpg
2017-01-10 00:09:39,MS11520707,20707,"MURPHY, Christopher",115,Senate,(CT),Connecticut,CT,0,100,-0.319,-0.144,1504.773,1,020707.jpg
2017-01-10 00:09:39,MS11520330,20330,"VAN HOLLEN, Christopher",115,Senate,(MD),Maryland,MD,0,100,-0.402,-0.185,2221.376,1,020330.jpg
2017-01-10 00:09:39,MS11520146,20146,"CAPITO, Shelley Moore",115,Senate,(WV),West Virginia,WV,0,200,0.255,0.068,2925.388,1,020146.jpg
2017-01-10 00:09:39,MS11520101,20101,"BOOZMAN, John",115,Senate,(AR),Arkansas,AR,0,200,0.402,0.248,2337.126,1,020101.jpg
2017-01-10 00:09:39,MS11520100,20100,"FLAKE, Jeff",115,Senate,(AZ),Arizona,AZ,0,200,0.873,-0.488,3275.777,1,020100.jpg
2017-01-10 00:09:39,MS11515424,15424,"INHOFE, James Mountain",115,Senate,(OK),Oklahoma,OK,0,200,0.552,0.042,2798.205,1,015424.jpg
2017-01-10 00:09:39,MS11515408,15408,"CARDIN, Benjamin Louis",115,Senate,(MD),Maryland,MD,0,100,-0.333,-0.242,3646.46,1,015408.jpg
2017-01-10 00:09:39,MS11515039,15039,"McCAIN, John Sidney, III",115,Senate,(AZ),Arizona,AZ,0,200,0.383,-0.599,4283.577,1,015039.jpg
2017-01-10 00:09:39,MS11515021,15021,"DURBIN, Richard Joseph",115,Senate,(IL),Illinois,IL,0,100,-0.369,-0.342,3584.683,1,015021.jpg
2017-01-10 00:09:39,MS11515015,15015,"CARPER, Thomas Richard",115,Senate,(DE),Delaware,DE,0,100,-0.175,-0.212,3364.091,1,015015.jpg
2017-01-10 00:09:39,MS11514921,14921,"McCONNELL, Addison Mitchell (Mitch)",115,Senate,(KY),Kentucky,KY,0,200,0.403,-0.039,3109.58,1,014921.jpg
2017-01-10 00:09:39,MS11514871,14871,"WYDEN, Ronald Lee",115,Senate,(OR),Oregon,OR,0,100,-0.317,-0.396,3796.11,1,014871.jpg
2017-01-10 00:09:39,MS11514858,14858,"SCHUMER, Charles Ellis (Chuck)",115,Senate,(NY),New York,NY,0,100,-0.355,-0.371,3405.744,1,014858.jpg
2017-01-10 00:09:39,MS11514852,14852,"ROBERTS, Charles Patrick (Pat)",115,Senate,(KS),Kansas,KS,0,200,0.416,-0.086,4424.666,1,014852.jpg
2017-01-10 00:09:39,MS11514651,14651,"NELSON, Clarence William (Bill)",115,Senate,(FL),Florida,FL,0,100,-0.192,0.303,3943.318,1,014651.jpg
2017-01-10 00:09:39,MS11514503,14503,"HATCH, Orrin Grant",115,Senate,(UT),Utah,UT,0,200,0.381,-0.018,4462.395,1,014503.jpg
2017-01-10 00:09:39,MS11514435,14435,"MARKEY, Edward John",115,Senate,(MA),Massachusetts,MA,0,100,-0.507,-0.408,5502.092,1,014435.jpg
2017-01-10 00:09:39,MS11514307,14307,"LEAHY, Patrick Joseph",115,Senate,(VT),Vermont,VT,0,100,-0.379,-0.129,4321.766,1,014307.jpg
2017-01-10 00:09:39,MS11514226,14226,"GRASSLEY, Charles Ernest",115,Senate,(IA),Iowa,IA,0,200,0.344,-0.064,6229.901,1,014226.jpg
2017-01-10 00:09:39,MS11514009,14009,"COCHRAN, William Thad",115,Senate,(MS),Mississippi,MS,0,200,0.287,0.046,5506.878,1,014009.jpg
