date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-22 15:24:17,MS02409542,9542,"TYLER, John",24,Senate,(VA),Virginia,VA,0,1275,,-0.004,-0.834,,,,
2017-01-22 15:24:17,MS02405093,5093,"KANE, Elias Kent",24,Senate,(IL),Illinois,IL,0,555,,-0.359,0.552,,,,
2017-01-22 15:24:17,MS02408670,8670,"SMITH, Nathan",24,Senate,(CT),Connecticut,CT,0,1275,,0.45,-0.017,,,,
2017-01-22 15:24:17,MS02407929,7929,"RIVES, William Cabell",24,Senate,(VA),Virginia,VA,0,555,,-0.255,0.66,0.669,63,309,-124.28462
2017-01-22 15:24:17,MS02407202,7202,"PARKER, Richard Elliott",24,Senate,(VA),Virginia,VA,0,555,,-0.332,-0.943,0.701,16,90,-31.95562
2017-01-22 15:24:17,MS02405597,5597,"LEIGH, Benjamin Watkins",24,Senate,(VA),Virginia,VA,0,1275,,0.242,-0.805,0.818,12,184,-36.95542
2017-01-22 15:24:17,MS02407600,7600,"PRENTISS, Samuel",24,Senate,(VT),Vermont,VT,0,1275,,0.475,-0.126,0.809,26,306,-64.67271
2017-01-22 15:24:17,MS02409124,9124,"SWIFT, Benjamin",24,Senate,(VT),Vermont,VT,0,1275,,0.274,0.142,0.794,36,360,-82.99844
2017-01-22 15:24:17,MS02410029,10029,"WHITE, Hugh Lawson",24,Senate,(TN),Tennessee,TN,0,1275,,-0.172,-0.182,0.572,125,390,-217.69372
2017-01-22 15:24:17,MS02403865,3865,"GRUNDY, Felix",24,Senate,(TN),Tennessee,TN,0,555,,-0.35,-0.021,0.766,25,295,-78.6277
2017-01-22 15:24:17,MS02401418,1418,"CALHOUN, John Caldwell",24,Senate,(SC),South Carolina,SC,0,44,,-0.167,-0.291,0.534,106,317,-198.79586
2017-01-22 15:24:17,MS02407608,7608,"PRESTON, William Campbell",24,Senate,(SC),South Carolina,SC,0,44,,0.006,0.167,0.597,81,300,-154.69734
2017-01-22 15:24:17,MS02407940,7940,"ROBBINS, Asher",24,Senate,(RI),Rhode Island,RI,0,1275,,0.457,0.653,0.838,32,325,-57.25687
2017-01-22 15:24:17,MS02405339,5339,"KNIGHT, Nehemiah Rice",24,Senate,(RI),Rhode Island,RI,0,1275,,0.489,0.308,0.82,21,287,-57.08862
2017-01-22 15:24:17,MS02406286,6286,"McKEAN, Samuel",24,Senate,(PA),Pennsylvania,PA,0,555,,0.008,0.677,0.653,32,161,-68.68782
2017-01-22 15:24:17,MS02401186,1186,"BUCHANAN, James",24,Senate,(PA),Pennsylvania,PA,0,555,,-0.226,-0.161,0.623,79,337,-159.37923
2017-01-22 15:24:17,MS02406716,6716,"MORRIS, Thomas",24,Senate,(OH),Ohio,OH,0,555,,-0.232,-0.19,0.53,110,291,-184.95862
2017-01-22 15:24:17,MS02403041,3041,"EWING, Thomas",24,Senate,(OH),Ohio,OH,0,1275,,0.454,0.326,0.754,45,335,-94.50405
2017-01-22 15:24:17,MS02409012,9012,"STRANGE, Robert",24,Senate,(NC),North Carolina,NC,0,555,,-0.288,-0.363,0.693,20,149,-54.6276
2017-01-22 15:24:17,MS02405952,5952,"MANGUM, Willie Person",24,Senate,(NC),North Carolina,NC,0,1275,,-0.036,0.294,0.593,40,156,-81.41228
