date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-10 02:15:54,MH01210396,10396,"WRIGHT, Robert",12,House,(MD-07),Maryland,MD,7,200,,0.054,0.222,0.56,83,263,-152.36892
2017-01-10 02:15:54,MH01210275,10275,"WINN, Richard",12,House,(SC-05),South Carolina,SC,5,200,,-0.19,0.179,0.771,27,216,-56.27438
2017-01-10 02:15:54,MH01210253,10253,"WILSON, Thomas",12,House,(VA-01),Virginia,VA,1,1,,0.121,-0.796,0.791,29,285,-66.81506
2017-01-10 02:15:54,MH01210140,10140,"WILLIAMS, David Rogerson",12,House,(SC-03),South Carolina,SC,3,200,,-0.366,-0.931,0.637,45,228,-102.76579
2017-01-10 02:15:54,MH01210090,10090,"WIDGERY, William",12,House,(MA-15),Massachusetts,MA,15,200,,0.149,0.536,0.671,37,223,-88.83799
2017-01-10 02:15:54,MH01210055,10055,"WHITEHILL, Robert",12,House,(PA-04),Pennsylvania,PA,4,200,,-0.286,0.14,0.668,48,274,-110.56805
2017-01-10 02:15:54,MH01210038,10038,"WHITE, Leonard",12,House,(MA-03),Massachusetts,MA,3,1,,0.682,-0.289,0.91,7,289,-27.2045
2017-01-10 02:15:54,MH01209983,9983,"WHEATON, Laban",12,House,(MA-09),Massachusetts,MA,9,1,,0.694,-0.533,0.89,11,276,-32.27087
2017-01-10 02:15:54,MH01209603,9603,"VAN CORTLANDT, Pierre, Jr.",12,House,(NY-03),New York,NY,3,200,,0.511,0.407,0.813,14,187,-38.74975
2017-01-10 02:15:54,MH01209510,9510,"TURNER, Charles, Jr.",12,House,(MA-07),Massachusetts,MA,7,200,,0.129,0.801,0.718,48,300,-99.40384
2017-01-10 02:15:54,MH01209482,9482,"TROUP, George Michael",12,House,(GA-00),Georgia,GA,98,200,,-0.239,-0.193,0.697,46,258,-93.10082
2017-01-10 02:15:54,MH01209451,9451,"TRACY, Uri",12,House,(NY-13),New York,NY,13,200,,0.348,0.572,0.726,35,238,-76.34812
2017-01-10 02:15:54,MH01209173,9173,"TALLMAN, Peleg",12,House,(MA-16),Massachusetts,MA,16,200,,0.424,0.362,0.736,10,75,-22.94546
2017-01-10 02:15:54,MH01209169,9169,"TALLMADGE, Benjamin",12,House,(CT-00),Connecticut,CT,98,1,,0.649,-0.33,0.873,13,241,-32.81117
2017-01-10 02:15:54,MH01209167,9167,"TALIAFERRO, John",12,House,(VA-08),Virginia,VA,8,200,,-0.071,0.548,0.683,38,221,-84.18786
2017-01-10 02:15:54,MH01209154,9154,"TAGGART, Samuel",12,House,(MA-06),Massachusetts,MA,6,1,,0.617,-0.291,0.888,10,258,-30.74471
2017-01-10 02:15:54,MH01209067,9067,"SULLIVAN, George",12,House,(NH-00),New Hampshire,NH,98,1,,0.412,-0.036,0.778,6,56,-14.06491
2017-01-10 02:15:54,MH01209063,9063,"STURGES, Lewis Burr",12,House,(CT-00),Connecticut,CT,98,1,,0.603,-0.438,0.91,12,291,-27.54973
2017-01-10 02:15:54,MH01209055,9055,"STUART, Philip",12,House,(MD-01),Maryland,MD,1,1,,0.177,-0.696,0.846,14,237,-39.55881
