date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-18 10:37:21,MS11294659,94659,"SHELBY, Richard C.",112,Senate,(AL),Alabama,AL,0,200,0.437,0.591,0.765,49,407,-109.2108
2016-10-18 10:37:21,MS11249706,49706,"ENZI, Michael B.",112,Senate,(WY),Wyoming,WY,0,200,0.541,0.229,0.827,30,399,-75.67553
2016-10-18 10:37:21,MS11249703,49703,"COLLINS, Susan Margaret",112,Senate,(ME),Maine,ME,0,200,0.105,-0.603,0.745,56,410,-120.85068
2016-10-18 10:37:21,MS11249702,49702,"LANDRIEU, Mary L.",112,Senate,(LA),Louisiana,LA,0,100,-0.201,0.438,0.852,26,400,-64.19298
2016-10-18 10:37:21,MS11249700,49700,"SESSIONS, Jefferson Beauregard III (Jeff)",112,Senate,(AL),Alabama,AL,0,200,0.55,0.172,0.781,49,405,-100.07442
2016-10-18 10:37:21,MS11249308,49308,"MURRAY, Patty",112,Senate,(WA),Washington,WA,0,100,-0.339,-0.32,0.885,19,403,-49.02865
2016-10-18 10:37:21,MS11249306,49306,"HUTCHISON, Kathryn Ann Bailey (Kay)",112,Senate,(TX),Texas,TX,0,200,0.356,0.014,0.763,48,384,-104.12189
2016-10-18 10:37:21,MS11249300,49300,"FEINSTEIN, Dianne",112,Senate,(CA),California,CA,0,100,-0.262,-0.201,0.882,21,402,-50.65563
2016-10-18 10:37:21,MS11241112,41112,"SCHATZ, Brian Emanuel",112,Senate,(HI),Hawaii,HI,0,100,-0.434,-0.027,0.981,1,509,-9.92488
2016-10-18 10:37:21,MS11241111,41111,"JOHNSON, Ron",112,Senate,(WI),Wisconsin,WI,0,200,0.589,-0.256,0.838,33,409,-72.11693
2016-10-18 10:37:21,MS11241110,41110,"LEE, Mike",112,Senate,(UT),Utah,UT,0,200,0.893,-0.45,0.803,41,398,-87.49877
2016-10-18 10:37:21,MS11241107,41107,"HOEVEN, John",112,Senate,(ND),North Dakota,ND,0,200,0.335,0.414,0.787,46,404,-96.56836
2016-10-18 10:37:21,MS11241106,41106,"AYOTTE, Kelly",112,Senate,(NH),New Hampshire,NH,0,200,0.35,-0.63,0.791,36,408,-95.87126
2016-10-18 10:37:21,MS11241104,41104,"PAUL, Rand",112,Senate,(KY),Kentucky,KY,0,200,0.901,-0.434,0.747,42,393,-114.53478
2016-10-18 10:37:21,MS11241102,41102,"RUBIO, Marco",112,Senate,(FL),Florida,FL,0,200,0.574,-0.236,0.771,41,386,-100.54775
2016-10-18 10:37:21,MS11241101,41101,"BLUMENTHAL, Richard",112,Senate,(CT),Connecticut,CT,0,100,-0.372,-0.213,0.897,17,397,-43.00144
2016-10-18 10:37:21,MS11240916,40916,"COONS, Christopher A.",112,Senate,(DE),Delaware,DE,0,100,-0.303,-0.292,0.9,18,409,-42.87018
2016-10-18 10:37:21,MS11240915,40915,"MANCHIN, Joe, III",112,Senate,(WV),West Virginia,WV,0,100,-0.061,0.425,0.708,65,407,-140.48006
2016-10-18 10:37:21,MS11240913,40913,"BROWN, Scott P.",112,Senate,(MA),Massachusetts,MA,0,200,0.128,-0.295,0.747,52,407,-118.77657
2016-10-18 10:37:21,MS11240910,40910,"BENNET, Michael F.",112,Senate,(CO),Colorado,CO,0,100,-0.21,-0.166,0.87,21,404,-56.15403
2016-10-18 10:37:21,MS11240909,40909,"WARNER, Mark",112,Senate,(VA),Virginia,VA,0,100,-0.201,-0.092,0.84,28,390,-68.17711
2016-10-18 10:37:21,MS11240908,40908,"MERKLEY, Jeff",112,Senate,(OR),Oregon,OR,0,100,-0.435,-0.843,0.855,25,407,-63.78607
2016-10-18 10:37:21,MS11240907,40907,"HAGAN, Kay",112,Senate,(NC),North Carolina,NC,0,100,-0.2,0.271,0.856,28,405,-62.78861
2016-10-18 10:37:21,MS11240906,40906,"SHAHEEN, Jeanne",112,Senate,(NH),New Hampshire,NH,0,100,-0.289,-0.526,0.898,18,407,-43.80945
2016-10-18 10:37:21,MS11240905,40905,"JOHANNS, Mike",112,Senate,(NE),Nebraska,NE,0,200,0.391,0.296,0.756,49,408,-113.86044
2016-10-18 10:37:21,MS11240904,40904,"FRANKEN, Al",112,Senate,(MN),Minnesota,MN,0,100,-0.443,-0.175,0.911,13,410,-38.11993
2016-10-18 10:37:21,MS11240902,40902,"RISCH, James",112,Senate,(ID),Idaho,ID,0,200,0.639,0.698,0.812,42,401,-83.49554
2016-10-18 10:37:21,MS11240900,40900,"BEGICH, Mark",112,Senate,(AK),Alaska,AK,0,100,-0.233,0.147,0.803,38,403,-88.39499
2016-10-18 10:37:21,MS11240707,40707,"BARRASSO, John A.",112,Senate,(WY),Wyoming,WY,0,200,0.53,0.292,0.812,31,400,-83.10919
2016-10-18 10:37:21,MS11240706,40706,"WEBB, James H. (Jim)",112,Senate,(VA),Virginia,VA,0,100,-0.167,0.012,0.773,46,391,-100.91173
2016-10-18 10:37:21,MS11240705,40705,"CORKER, Robert (Bob)",112,Senate,(TN),Tennessee,TN,0,200,0.388,-0.291,0.789,38,401,-95.07797
2016-10-18 10:37:21,MS11240704,40704,"WHITEHOUSE, Sheldon",112,Senate,(RI),Rhode Island,RI,0,100,-0.43,-0.379,0.897,18,408,-44.1864
