date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-01-23 07:33:23,MS01607486,7486,"PLEASANTS, James",16,Senate,(VA),Virginia,VA,0,200,,-0.135,-0.041,,,,
2017-01-23 07:33:23,MS01604536,4536,"HOLMES, John",16,Senate,(ME),Maine,ME,0,200,,0.342,0.059,,,,
2017-01-23 07:33:23,MS01600420,420,"BARBOUR, James",16,Senate,(VA),Virginia,VA,0,200,,-0.23,-0.281,0.647,17,93,-40.51265
2017-01-23 07:33:23,MS01607182,7182,"PALMER, William Adams",16,Senate,(VT),Vermont,VT,0,200,,0.492,0.261,0.593,24,87,-45.4604
2017-01-23 07:33:23,MS01609378,9378,"TICHENOR, Isaac",16,Senate,(VT),Vermont,VT,0,1,,0.428,-0.629,0.692,8,87,-31.9886
2017-01-23 07:33:23,MS01610160,10160,"WILLIAMS, John",16,Senate,(TN),Tennessee,TN,0,200,,-0.081,0.052,0.64,21,98,-43.69343
2017-01-23 07:33:23,MS01602828,2828,"EATON, John Henry",16,Senate,(TN),Tennessee,TN,0,200,,-0.428,0.507,0.542,42,106,-65.01781
2017-01-23 07:33:23,MS01608694,8694,"SMITH, William",16,Senate,(SC),South Carolina,SC,0,200,,0.164,-0.986,0.524,36,108,-69.89193
2017-01-23 07:33:23,MS01603423,3423,"GAILLARD, John",16,Senate,(SC),South Carolina,SC,0,200,,-0.126,-0.418,0.657,25,111,-46.63705
2017-01-23 07:33:23,MS01605339,5339,"KNIGHT, Nehemiah Rice",16,Senate,(RI),Rhode Island,RI,0,200,,0.489,0.308,0.653,6,32,-13.61522
2017-01-23 07:33:23,MS01601305,1305,"BURRILL, James, Jr.",16,Senate,(RI),Rhode Island,RI,0,1,,0.745,-0.39,0.773,7,67,-17.21507
2017-01-23 07:33:23,MS01604762,4762,"HUNTER, William",16,Senate,(RI),Rhode Island,RI,0,1,,0.505,-0.134,0.656,19,96,-40.53793
2017-01-23 07:33:23,MS01605817,5817,"LOWRIE, Walter",16,Senate,(PA),Pennsylvania,PA,0,200,,0.552,0.35,0.588,32,111,-58.94776
2017-01-23 07:33:23,MS01607953,7953,"ROBERTS, Jonathan",16,Senate,(PA),Pennsylvania,PA,0,200,,-0.692,-0.35,0.514,38,105,-69.84664
2017-01-23 07:33:23,MS01609477,9477,"TRIMBLE, William Allen",16,Senate,(OH),Ohio,OH,0,200,,0.509,0.861,0.595,27,111,-57.55995
2017-01-23 07:33:23,MS01608107,8107,"RUGGLES, Benjamin",16,Senate,(OH),Ohio,OH,0,200,,0.388,0.73,0.499,40,99,-68.74569
2017-01-23 07:33:23,MS01605895,5895,"MACON, Nathaniel",16,Senate,(NC),North Carolina,NC,0,200,,-0.33,-0.944,0.627,28,111,-51.87093
2017-01-23 07:33:23,MS01608971,8971,"STOKES, Montfort",16,Senate,(NC),North Carolina,NC,0,200,,-0.112,0.203,0.664,19,93,-38.13858
2017-01-23 07:33:23,MS01608211,8211,"SANFORD, Nathan",16,Senate,(NY),New York,NY,0,200,,0.126,0.132,0.5,45,108,-74.8878
2017-01-23 07:33:23,MS01605270,5270,"KING, Rufus",16,Senate,(NY),New York,NY,0,1,,0.575,-0.302,0.645,22,104,-45.58355
2017-01-23 07:33:23,MS01608752,8752,"SOUTHARD, Samuel Lewis",16,Senate,(NJ),New Jersey,NJ,0,200,,0.618,0.6,0.58,7,25,-13.63719
2017-01-23 07:33:23,MS01610235,10235,"WILSON, James Jefferson",16,Senate,(NJ),New Jersey,NJ,0,200,,-0.996,-0.094,0.426,37,61,-52.04637
2017-01-23 07:33:23,MS01602561,2561,"DICKERSON, Mahlon",16,Senate,(NJ),New Jersey,NJ,0,200,,0.12,0.059,0.507,41,100,-67.93152
2017-01-23 07:33:23,MS01606693,6693,"MORRIL, David Lawrence",16,Senate,(NH),New Hampshire,NH,0,200,,0.366,-0.931,0.584,27,91,-48.90685
2017-01-23 07:33:23,MS01607216,7216,"PARROTT, John Fabyan",16,Senate,(NH),New Hampshire,NH,0,200,,0.216,0.009,0.634,22,104,-47.34474
2017-01-23 07:33:23,MS01604532,4532,"HOLMES, David",16,Senate,(MS),Mississippi,MS,0,200,,-0.152,-0.135,0.657,9,42,-17.65278
2017-01-23 07:33:23,MS01605542,5542,"LEAKE, Walter",16,Senate,(MS),Mississippi,MS,0,200,,-0.13,0.106,0.627,15,63,-29.40317
2017-01-23 07:33:23,MS01610182,10182,"WILLIAMS, Thomas Hill",16,Senate,(MS),Mississippi,MS,0,200,,-0.187,-0.253,0.561,30,99,-57.17767
2017-01-23 07:33:23,MS01606528,6528,"MILLS, Elijah Hunt",16,Senate,(MA),Massachusetts,MA,0,1,,0.624,-0.253,0.649,8,46,-19.87608
2017-01-23 07:33:23,MS01606410,6410,"MELLEN, Prentiss",16,Senate,(MA),Massachusetts,MA,0,1,,0.732,-0.523,0.763,5,55,-14.90842
2017-01-23 07:33:23,MS01607108,7108,"OTIS, Harrison Gray",16,Senate,(MA),Massachusetts,MA,0,1,,0.664,-0.087,0.665,15,96,-39.16399
2017-01-23 07:33:23,MS01607463,7463,"PINKNEY, William",16,Senate,(MD),Maryland,MD,0,200,,-0.107,0.026,0.646,7,30,-13.09345
2017-01-23 07:33:23,MS01605724,5724,"LLOYD, Edward",16,Senate,(MD),Maryland,MD,0,200,,-0.008,-0.285,0.517,18,54,-35.58056
2017-01-23 07:33:23,MS01601635,1635,"CHANDLER, John",16,Senate,(ME),Maine,ME,0,200,,0.194,-0.18,0.492,20,46,-32.67347
2017-01-23 07:33:23,MS01604959,4959,"JOHNSON, Henry",16,Senate,(LA),Louisiana,LA,0,200,,-0.041,0.25,0.677,17,101,-39.42812
2017-01-23 07:33:23,MS01601111,1111,"BROWN, James",16,Senate,(LA),Louisiana,LA,0,200,,0.036,-0.008,0.576,18,63,-34.74513
2017-01-23 07:33:23,MS01609159,9159,"TALBOT, Isham",16,Senate,(KY),Kentucky,KY,0,200,,0.131,0.616,0.626,11,45,-21.07645
2017-01-23 07:33:23,MS01605748,5748,"LOGAN, William",16,Senate,(KY),Kentucky,KY,0,200,,-0.295,0.249,0.672,10,52,-20.63407
2017-01-23 07:33:23,MS01604988,4988,"JOHNSON, Richard Mentor",16,Senate,(KY),Kentucky,KY,0,200,,-0.18,0.02,0.553,22,85,-50.41441
2017-01-23 07:33:23,MS01606941,6941,"NOBLE, James",16,Senate,(IN),Indiana,IN,0,200,,0.26,0.629,0.523,35,82,-53.20667
2017-01-23 07:33:23,MS01609233,9233,"TAYLOR, Waller",16,Senate,(IN),Indiana,IN,0,200,,-0.014,0.369,0.551,29,97,-57.85292
2017-01-23 07:33:23,MS01609297,9297,"THOMAS, Jesse Burgess",16,Senate,(IL),Illinois,IL,0,200,,0.231,0.591,0.67,18,100,-40.05871
2017-01-23 07:33:23,MS01602871,2871,"EDWARDS, Ninian",16,Senate,(IL),Illinois,IL,0,200,,-0.026,1.0,0.721,12,90,-29.47242
2017-01-23 07:33:23,MS01602913,2913,"ELLIOTT, John",16,Senate,(GA),Georgia,GA,0,200,,-0.089,-0.4,0.626,26,100,-46.76492
2017-01-23 07:33:23,MS01609740,9740,"WALKER, Freeman",16,Senate,(GA),Georgia,GA,0,200,,-0.343,0.015,0.676,14,87,-34.08387
2017-01-23 07:33:23,MS01609613,9613,"VAN DYKE, Nicholas",16,Senate,(DE),Delaware,DE,0,1,,0.401,-0.237,0.637,20,87,-39.25304
2017-01-23 07:33:23,MS01604586,4586,"HORSEY, Outerbridge",16,Senate,(DE),Delaware,DE,0,1,,0.522,-0.044,0.609,18,75,-37.2294
2017-01-23 07:33:23,MS01602316,2316,"DANA, Samuel Whittlesey",16,Senate,(CT),Connecticut,CT,0,1,,0.776,-0.182,0.671,18,100,-39.85622
2017-01-23 07:33:23,MS01605465,5465,"LANMAN, James",16,Senate,(CT),Connecticut,CT,0,200,,0.683,0.466,0.657,24,107,-44.87021
2017-01-23 07:33:23,MS01605275,5275,"KING, William Rufus de Vane",16,Senate,(AL),Alabama,AL,0,200,,-0.373,-0.088,0.641,20,97,-43.13011
2017-01-23 07:33:23,MS01609749,9749,"WALKER, John Williams",16,Senate,(AL),Alabama,AL,0,200,,-0.324,-0.763,0.716,12,108,-36.06456
