date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-18 10:37:21,MS11494659,94659,"SHELBY, Richard C.",114,Senate,(AL),Alabama,AL,0,200,0.437,0.591,0.794,35,364,-84.02848
2016-10-18 10:37:21,MS11449706,49706,"ENZI, Michael B.",114,Senate,(WY),Wyoming,WY,0,200,0.541,0.229,0.793,35,361,-83.68424
2016-10-18 10:37:21,MS11449703,49703,"COLLINS, Susan Margaret",114,Senate,(ME),Maine,ME,0,200,0.105,-0.603,0.686,79,378,-142.40602
2016-10-18 10:37:21,MS11449700,49700,"SESSIONS, Jefferson Beauregard III (Jeff)",114,Senate,(AL),Alabama,AL,0,200,0.55,0.172,0.791,35,372,-87.04069
2016-10-18 10:37:21,MS11449308,49308,"MURRAY, Patty",114,Senate,(WA),Washington,WA,0,100,-0.339,-0.32,0.906,19,373,-36.90493
2016-10-18 10:37:21,MS11449300,49300,"FEINSTEIN, Dianne",114,Senate,(CA),California,CA,0,100,-0.262,-0.201,0.882,23,365,-45.83181
2016-10-18 10:37:21,MS11441505,41505,"ROUNDS, Marion Michael (Mike)",114,Senate,(SD),South Dakota,SD,0,200,0.391,-0.033,0.846,20,377,-63.22881
2016-10-18 10:37:21,MS11441504,41504,"TILLIS, Thomas Roland (Thom)",114,Senate,(NC),North Carolina,NC,0,200,0.438,-0.063,0.833,34,377,-68.74183
2016-10-18 10:37:21,MS11441503,41503,"SASSE, Benjamin Eric",114,Senate,(NE),Nebraska,NE,0,200,0.767,-0.207,0.828,30,376,-71.17853
2016-10-18 10:37:21,MS11441502,41502,"ERNST, Joni",114,Senate,(IA),Iowa,IA,0,200,0.497,0.069,0.857,23,378,-58.48837
2016-10-18 10:37:21,MS11441501,41501,"PERDUE, David Alfred, Jr.",114,Senate,(GA),Georgia,GA,0,200,0.61,-0.161,0.817,34,373,-75.21946
2016-10-18 10:37:21,MS11441500,41500,"SULLIVAN, Daniel Scott",114,Senate,(AK),Alaska,AK,0,200,0.462,0.111,0.802,30,370,-81.79146
2016-10-18 10:37:21,MS11441308,41308,"BOOKER, Cory Anthony",114,Senate,(NJ),New Jersey,NJ,0,100,-0.516,-0.577,0.932,9,374,-26.3876
2016-10-18 10:37:21,MS11441305,41305,"KAINE, Timothy Michael (Tim)",114,Senate,(VA),Virginia,VA,0,100,-0.223,-0.158,0.846,33,378,-63.1176
2016-10-18 10:37:21,MS11441304,41304,"CRUZ, Rafael Edward (Ted)",114,Senate,(TX),Texas,TX,0,200,0.89,-0.177,0.705,40,263,-92.10899
2016-10-18 10:37:21,MS11441303,41303,"HEITKAMP, Mary Kathryn (Heidi)",114,Senate,(ND),North Dakota,ND,0,100,-0.151,0.47,0.777,43,377,-95.31717
2016-10-18 10:37:21,MS11441302,41302,"FISCHER, Debra (Deb)",114,Senate,(NE),Nebraska,NE,0,200,0.465,0.418,0.85,21,378,-61.60374
2016-10-18 10:37:21,MS11441301,41301,"WARREN, Elizabeth",114,Senate,(MA),Massachusetts,MA,0,100,-0.692,-0.158,0.929,8,378,-28.03876
2016-10-18 10:37:21,MS11441300,41300,"KING, Angus Stanley, Jr.",114,Senate,(ME),Maine,ME,0,328,-0.167,-0.361,0.784,47,371,-90.11229
2016-10-18 10:37:21,MS11441112,41112,"SCHATZ, Brian Emanuel",114,Senate,(HI),Hawaii,HI,0,100,-0.434,-0.027,0.91,15,375,-35.33478
2016-10-18 10:37:21,MS11441111,41111,"JOHNSON, Ron",114,Senate,(WI),Wisconsin,WI,0,200,0.589,-0.256,0.82,33,370,-73.45465
2016-10-18 10:37:21,MS11441110,41110,"LEE, Mike",114,Senate,(UT),Utah,UT,0,200,0.893,-0.45,0.732,56,358,-111.88712
2016-10-18 10:37:21,MS11441107,41107,"HOEVEN, John",114,Senate,(ND),North Dakota,ND,0,200,0.335,0.414,0.842,31,377,-64.68896
2016-10-18 10:37:21,MS11441106,41106,"AYOTTE, Kelly",114,Senate,(NH),New Hampshire,NH,0,200,0.35,-0.63,0.736,50,377,-115.36981
2016-10-18 10:37:21,MS11441104,41104,"PAUL, Rand",114,Senate,(KY),Kentucky,KY,0,200,0.901,-0.434,0.602,75,359,-181.91209
2016-10-18 10:37:21,MS11441102,41102,"RUBIO, Marco",114,Senate,(FL),Florida,FL,0,200,0.574,-0.236,0.74,30,256,-77.20621
2016-10-18 10:37:21,MS11441101,41101,"BLUMENTHAL, Richard",114,Senate,(CT),Connecticut,CT,0,100,-0.372,-0.213,0.906,15,376,-37.14003
2016-10-18 10:37:21,MS11440916,40916,"COONS, Christopher A.",114,Senate,(DE),Delaware,DE,0,100,-0.303,-0.292,0.905,19,364,-36.33471
