date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-18 10:37:21,MS04310387,10387,"WRIGHT, George Grover",43,Senate,(IA),Iowa,IA,0,200,0.278,-0.207,0.653,78,347,-147.96497
2016-10-18 10:37:21,MS04310268,10268,"WINDOM, William",43,Senate,(MN),Minnesota,MN,0,200,0.318,-0.067,0.657,76,315,-132.27729
2016-10-18 10:37:21,MS04309961,9961,"WEST, Joseph Rodman",43,Senate,(LA),Louisiana,LA,0,200,0.224,0.491,0.709,49,317,-108.92841
2016-10-18 10:37:21,MS04309852,9852,"WASHBURN, William Barrett",43,Senate,(MA),Massachusetts,MA,0,200,0.315,-0.127,0.632,55,233,-106.86477
2016-10-18 10:37:21,MS04309702,9702,"WADLEIGH, Bainbridge",43,Senate,(NH),New Hampshire,NH,0,200,0.215,-0.574,0.583,77,277,-149.63125
2016-10-18 10:37:21,MS04309398,9398,"TIPTON, Thomas Weston",43,Senate,(NE),Nebraska,NE,0,208,0.094,0.468,0.596,67,287,-148.70573
2016-10-18 10:37:21,MS04309367,9367,"THURMAN, Allen Granberry",43,Senate,(OH),Ohio,OH,0,100,-0.374,-0.248,0.723,35,265,-85.86825
2016-10-18 10:37:21,MS04309083,9083,"SUMNER, Charles",43,Senate,(MA),Massachusetts,MA,0,208,0.339,-0.247,0.529,18,48,-30.53096
2016-10-18 10:37:21,MS04308962,8962,"STOCKTON, John Potter",43,Senate,(NJ),New Jersey,NJ,0,100,-0.369,-0.296,0.815,21,259,-52.979
2016-10-18 10:37:21,MS04308948,8948,"STEWART, William Morris",43,Senate,(NV),Nevada,NV,0,200,0.251,0.209,0.452,113,251,-199.54554
2016-10-18 10:37:21,MS04308922,8922,"STEVENSON, John White",43,Senate,(KY),Kentucky,KY,0,100,-0.595,-0.23,0.794,22,261,-60.24062
2016-10-18 10:37:21,MS04308806,8806,"SPRAGUE, William",43,Senate,(RI),Rhode Island,RI,0,208,0.121,0.02,0.526,80,243,-156.15967
2016-10-18 10:37:21,MS04308783,8783,"SPENCER, George Eliphaz",43,Senate,(AL),Alabama,AL,0,200,0.286,0.958,0.762,31,281,-76.32585
2016-10-18 10:37:21,MS04308454,8454,"SHERMAN, John",43,Senate,(OH),Ohio,OH,0,200,0.234,-0.352,0.636,73,317,-143.42912
2016-10-18 10:37:21,MS04308304,8304,"SCOTT, John",43,Senate,(PA),Pennsylvania,PA,0,200,0.27,-0.284,0.677,64,361,-140.76302
