date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-19 13:04:34,MS03610462,10462,"YULEE, David Levy",36,Senate,(FL),Florida,FL,0,100,-0.56,0.423,0.742,31,201,-59.91797
2016-10-19 13:04:34,MS03610225,10225,"WILSON, Henry",36,Senate,(MA),Massachusetts,MA,0,200,0.33,-0.224,0.746,74,552,-162.0202
2016-10-19 13:04:34,MS03610121,10121,"WILKINSON, Morton Smith",36,Senate,(MN),Minnesota,MN,0,200,0.409,0.54,0.741,66,422,-126.29424
2016-10-19 13:04:34,MS03610093,10093,"WIGFALL, Louis Trezevant",36,Senate,(TX),Texas,TX,0,100,-0.682,-0.603,0.729,56,385,-121.83092
2016-10-19 13:04:34,MS03609819,9819,"WARD, Matthias",36,Senate,(TX),Texas,TX,0,100,-0.651,-0.117,0.776,22,242,-61.3868
2016-10-19 13:04:34,MS03609698,9698,"WADE, Benjamin Franklin",36,Senate,(OH),Ohio,OH,0,200,0.563,0.132,0.817,49,536,-108.24669
2016-10-19 13:04:34,MS03609492,9492,"TRUMBULL, Lyman",36,Senate,(IL),Illinois,IL,0,200,0.126,-0.082,0.713,88,521,-176.56203
2016-10-19 13:04:34,MS03609423,9423,"TOOMBS, Robert Augustus",36,Senate,(GA),Georgia,GA,0,100,-0.348,0.938,0.706,42,259,-90.06322
2016-10-19 13:04:34,MS03609352,9352,"THOMSON, John Renshaw",36,Senate,(NJ),New Jersey,NJ,0,100,-0.27,0.067,0.659,46,248,-103.46246
2016-10-19 13:04:34,MS03609255,9255,"TEN EYCK, John Conover",36,Senate,(NJ),New Jersey,NJ,0,200,0.083,-0.748,0.8,45,477,-106.42741
2016-10-19 13:04:34,MS03609083,9083,"SUMNER, Charles",36,Senate,(MA),Massachusetts,MA,0,200,0.339,-0.247,0.802,47,484,-106.62211
2016-10-19 13:04:34,MS03608575,8575,"SLIDELL, John",36,Senate,(LA),Louisiana,LA,0,100,-0.486,0.139,0.779,29,258,-64.36224
