date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2016-10-18 10:36:33,MS01710182,10182,"WILLIAMS, Thomas Hill",17,Senate,(MS),Mississippi,MS,0,13,-0.187,-0.258,0.608,23,75,-37.26366
2016-10-18 10:36:33,MS01710160,10160,"WILLIAMS, John",17,Senate,(TN),Tennessee,TN,0,13,-0.082,0.045,0.643,20,80,-35.369
2016-10-18 10:36:33,MS01709827,9827,"WARE, Nicholas",17,Senate,(GA),Georgia,GA,0,13,-0.067,-0.646,0.651,13,73,-31.31351
2016-10-18 10:36:33,MS01709749,9749,"WALKER, John Williams",17,Senate,(AL),Alabama,AL,0,13,-0.327,-0.764,0.666,8,61,-24.80756
2016-10-18 10:36:33,MS01709613,9613,"VAN DYKE, Nicholas",17,Senate,(DE),Delaware,DE,0,1,0.399,-0.24,0.536,17,60,-37.37615
2016-10-18 10:36:33,MS01709595,9595,"VAN BUREN, Martin",17,Senate,(NY),New York,NY,0,13,0.144,-0.054,0.541,26,71,-43.60922
2016-10-18 10:36:33,MS01709477,9477,"TRIMBLE, William Allen",17,Senate,(OH),Ohio,OH,0,13,0.518,0.856,0.596,27,111,-57.41911
2016-10-18 10:36:33,MS01709297,9297,"THOMAS, Jesse Burgess",17,Senate,(IL),Illinois,IL,0,13,0.233,0.578,0.612,27,82,-40.30368
2016-10-18 10:36:33,MS01709233,9233,"TAYLOR, Waller",17,Senate,(IN),Indiana,IN,0,13,-0.01,0.356,0.539,29,77,-47.6042
2016-10-18 10:36:33,MS01709215,9215,"TAYLOR, John",17,Senate,(VA),Virginia,VA,0,13,-0.772,-0.6,0.943,1,35,-2.04573
2016-10-18 10:36:33,MS01709159,9159,"TALBOT, Isham",17,Senate,(KY),Kentucky,KY,0,13,0.134,0.607,0.64,18,71,-31.64171
2016-10-18 10:36:33,MS01708971,8971,"STOKES, Montfort",17,Senate,(NC),North Carolina,NC,0,13,-0.115,0.203,0.632,15,77,-35.28496
2016-10-18 10:36:33,MS01708752,8752,"SOUTHARD, Samuel Lewis",17,Senate,(NJ),New Jersey,NJ,0,13,0.619,0.596,0.564,23,63,-36.05318
2016-10-18 10:36:33,MS01708694,8694,"SMITH, William",17,Senate,(SC),South Carolina,SC,0,13,0.168,-0.986,0.621,19,73,-34.72237
2016-10-18 10:36:33,MS01708678,8678,"SMITH, Samuel",17,Senate,(MD),Maryland,MD,0,13,0.032,0.164,0.582,8,25,-13.546
2016-10-18 10:36:33,MS01708385,8385,"SEYMOUR, Horatio",17,Senate,(VT),Vermont,VT,0,13,0.635,0.672,0.612,21,81,-39.71545
2016-10-18 10:36:33,MS01708107,8107,"RUGGLES, Benjamin",17,Senate,(OH),Ohio,OH,0,13,0.388,0.712,0.526,36,74,-47.53292
2016-10-18 10:36:33,MS01708013,8013,"RODNEY, Caesar Augustus",17,Senate,(DE),Delaware,DE,0,13,-0.142,0.054,0.635,20,79,-35.90718
2016-10-18 10:36:33,MS01707486,7486,"PLEASANTS, James",17,Senate,(VA),Virginia,VA,0,13,-0.135,-0.039,0.606,16,61,-30.53296
2016-10-18 10:36:33,MS01707463,7463,"PINKNEY, William",17,Senate,(MD),Maryland,MD,0,13,-0.107,0.023,0.646,7,30,-13.08814
2016-10-18 10:36:33,MS01707216,7216,"PARROTT, John Fabyan",17,Senate,(NH),New Hampshire,NH,0,13,0.217,0.004,0.535,24,84,-52.60566
2016-10-18 10:36:33,MS01707182,7182,"PALMER, William Adams",17,Senate,(VT),Vermont,VT,0,13,0.495,0.251,0.618,16,63,-30.2713
2016-10-18 10:36:33,MS01707108,7108,"OTIS, Harrison Gray",17,Senate,(MA),Massachusetts,MA,0,1,0.664,-0.093,0.605,10,32,-16.09838
2016-10-18 10:36:33,MS01706941,6941,"NOBLE, James",17,Senate,(IN),Indiana,IN,0,13,0.261,0.608,0.5,29,61,-42.26404
2016-10-18 10:36:33,MS01706693,6693,"MORRIL, David Lawrence",17,Senate,(NH),New Hampshire,NH,0,13,0.368,-0.93,0.71,5,69,-23.59026
2016-10-18 10:36:33,MS01706528,6528,"MILLS, Elijah Hunt",17,Senate,(MA),Massachusetts,MA,0,1,0.624,-0.254,0.599,18,60,-30.71036
2016-10-18 10:36:33,MS01705895,5895,"MACON, Nathaniel",17,Senate,(NC),North Carolina,NC,0,13,-0.331,-0.944,0.647,17,86,-37.47649
2016-10-18 10:36:33,MS01705817,5817,"LOWRIE, Walter",17,Senate,(PA),Pennsylvania,PA,0,13,0.56,0.345,0.593,14,67,-35.05068
