date_generated,congress,chamber,party_code,party_name,n_members,median_dim1,median_dim2,mean_dim1,mean_dim2,all_parties_median_dim1,all_parties_median_dim2,all_parties_mean_dim1,all_parties_mean_dim2,all_parties_n_members
2016-10-13 17:38:18,1,House,5000,Pro-Administration Party,37,0.57599999999999996,0.055,0.529,0.023,0.32150000000000001,0.081000000000000003,0.287,0.076,66
2016-10-13 17:38:18,1,House,4000,Anti-Administration Party,29,0.017999999999999999,0.096000000000000002,-0.023,0.144,0.32150000000000001,0.081000000000000003,0.287,0.076,66
2016-10-13 17:38:18,1,Senate,4000,Anti-Administration Party,8,-0.23899999999999999,-0.20599999999999999,-0.241,-0.038,0.22699999999999998,-0.31,0.182,-0.127,28
2016-10-13 17:38:18,1,Senate,5000,Pro-Administration Party,20,0.42899999999999999,-0.31,0.351,-0.163,0.22699999999999998,-0.31,0.182,-0.127,28
2016-10-13 17:38:18,2,House,5000,Pro-Administration Party,40,0.53449999999999998,0.086000000000000007,0.533,0.082,0.27000000000000002,0.0060000000000000001,0.283,-0.006,71
2016-10-13 17:38:18,2,House,4000,Anti-Administration Party,31,-0.021000000000000001,-0.073999999999999996,-0.038,-0.119,0.27000000000000002,0.0060000000000000001,0.283,-0.006,71
2016-10-13 17:38:18,2,Senate,5000,Pro-Administration Party,17,0.45000000000000001,-0.246,0.389,-0.115,0.089999999999999997,-0.45700000000000002,0.049,-0.201,31
2016-10-13 17:38:18,2,Senate,4000,Anti-Administration Party,14,-0.39700000000000002,-0.53100000000000003,-0.363,-0.304,0.089999999999999997,-0.45700000000000002,0.049,-0.201,31
2016-10-13 17:38:18,3,House,5000,Pro-Administration Party,52,0.59850000000000003,0.071999999999999995,0.565,0.052,0.188,-0.031,0.238,-0.058,107
2016-10-13 17:38:18,3,House,4000,Anti-Administration Party,55,-0.070999999999999994,-0.152,-0.072,-0.162,0.188,-0.031,0.238,-0.058,107
2016-10-13 17:38:18,3,Senate,5000,Pro-Administration Party,18,0.57650000000000001,-0.17149999999999999,0.578,0.006,0.28699999999999998,-0.27400000000000002,0.143,-0.191,33
2016-10-13 17:38:18,3,Senate,4000,Anti-Administration Party,15,-0.372,-0.53900000000000003,-0.379,-0.428,0.28699999999999998,-0.27400000000000002,0.143,-0.191,33
2016-10-13 17:38:18,4,House,1,Federalist Party,54,0.60450000000000004,0.13950000000000001,0.562,0.142,0.070000000000000007,0.056999999999999995,0.204,0.067,114
2016-10-13 17:38:18,4,House,13,Democratic-Republican Party,60,-0.098000000000000004,-0.025500000000000002,-0.119,-0.0,0.070000000000000007,0.056999999999999995,0.204,0.067,114
2016-10-13 17:38:18,4,Senate,1,Federalist Party,28,0.62349999999999994,-0.043999999999999997,0.579,0.032,0.43099999999999999,-0.20499999999999999,0.271,-0.088,41
2016-10-13 17:38:18,4,Senate,13,Democratic-Republican Party,13,-0.372,-0.45700000000000002,-0.395,-0.346,0.43099999999999999,-0.20499999999999999,0.271,-0.088,41
2016-10-13 17:38:18,5,House,1,Federalist Party,64,0.62149999999999994,-0.017000000000000001,0.597,0.028,0.40799999999999997,-0.041000000000000002,0.264,-0.019,117
2016-10-13 17:38:18,5,House,13,Democratic-Republican Party,53,-0.108,-0.043999999999999997,-0.139,-0.075,0.40799999999999997,-0.041000000000000002,0.264,-0.019,117
2016-10-13 17:38:18,5,Senate,1,Federalist Party,31,0.72699999999999998,-0.037999999999999999,0.599,0.039,0.4325,-0.010999999999999999,0.327,-0.016,44
2016-10-13 17:38:18,5,Senate,13,Democratic-Republican Party,13,-0.36299999999999999,0.021000000000000001,-0.322,-0.148,0.4325,-0.010999999999999999,0.327,-0.016,44
