date_generated,congress,chamber,party_code,party_name,n_members,median_dim1,median_dim2,mean_dim1,mean_dim2,all_parties_median_dim1,all_parties_median_dim2,all_parties_mean_dim1,all_parties_mean_dim2,all_parties_n_members
2016-10-26 15:00:34,1,House,5000,Pro-Administration Party,37,0.576,0.055,0.529,0.023,0.322,0.081,0.287,0.076,66
2016-10-26 15:00:34,1,House,4000,Anti-Administration Party,29,0.018,0.096,-0.023,0.144,0.322,0.081,0.287,0.076,66
2016-10-26 15:00:34,1,Senate,4000,Anti-Administration Party,8,-0.239,-0.206,-0.241,-0.038,0.227,-0.31,0.182,-0.127,28
2016-10-26 15:00:34,1,Senate,5000,Pro-Administration Party,20,0.429,-0.31,0.351,-0.163,0.227,-0.31,0.182,-0.127,28
2016-10-26 15:00:34,2,House,5000,Pro-Administration Party,40,0.534,0.086,0.533,0.082,0.27,0.006,0.283,-0.006,71
2016-10-26 15:00:34,2,House,4000,Anti-Administration Party,31,-0.021,-0.074,-0.038,-0.119,0.27,0.006,0.283,-0.006,71
2016-10-26 15:00:34,2,Senate,5000,Pro-Administration Party,17,0.45,-0.246,0.389,-0.115,0.09,-0.457,0.049,-0.201,31
2016-10-26 15:00:34,2,Senate,4000,Anti-Administration Party,14,-0.397,-0.531,-0.363,-0.304,0.09,-0.457,0.049,-0.201,31
2016-10-26 15:00:34,3,House,5000,Pro-Administration Party,52,0.599,0.072,0.565,0.052,0.188,-0.031,0.238,-0.058,107
2016-10-26 15:00:34,3,House,4000,Anti-Administration Party,55,-0.071,-0.152,-0.072,-0.162,0.188,-0.031,0.238,-0.058,107
2016-10-26 15:00:34,3,Senate,5000,Pro-Administration Party,18,0.577,-0.171,0.578,0.006,0.287,-0.274,0.143,-0.191,33
2016-10-26 15:00:34,3,Senate,4000,Anti-Administration Party,15,-0.372,-0.539,-0.379,-0.428,0.287,-0.274,0.143,-0.191,33
2016-10-26 15:00:34,4,House,1,Federalist Party,54,0.605,0.14,0.562,0.142,0.07,0.057,0.204,0.067,114
2016-10-26 15:00:34,4,House,13,Democratic-Republican Party,60,-0.098,-0.026,-0.119,-0.0,0.07,0.057,0.204,0.067,114
2016-10-26 15:00:34,4,Senate,1,Federalist Party,28,0.623,-0.044,0.579,0.032,0.431,-0.205,0.271,-0.088,41
2016-10-26 15:00:34,4,Senate,13,Democratic-Republican Party,13,-0.372,-0.457,-0.395,-0.346,0.431,-0.205,0.271,-0.088,41
2016-10-26 15:00:34,5,House,1,Federalist Party,64,0.621,-0.017,0.597,0.028,0.408,-0.041,0.264,-0.019,117
2016-10-26 15:00:34,5,House,13,Democratic-Republican Party,53,-0.108,-0.044,-0.139,-0.075,0.408,-0.041,0.264,-0.019,117
2016-10-26 15:00:34,5,Senate,1,Federalist Party,31,0.727,-0.038,0.599,0.039,0.432,-0.011,0.327,-0.016,44
2016-10-26 15:00:34,5,Senate,13,Democratic-Republican Party,13,-0.363,0.021,-0.322,-0.148,0.432,-0.011,0.327,-0.016,44
2016-10-26 15:00:34,6,House,1,Federalist Party,64,0.624,-0.075,0.592,-0.042,0.455,-0.081,0.291,-0.093,113
2016-10-26 15:00:34,6,House,13,Democratic-Republican Party,49,-0.068,-0.104,-0.102,-0.16,0.455,-0.081,0.291,-0.093,113
2016-10-26 15:00:34,6,Senate,1,Federalist Party,27,0.625,0.035,0.576,0.082,0.471,0.022,0.317,0.028,38
2016-10-26 15:00:34,6,Senate,13,Democratic-Republican Party,11,-0.277,0.021,-0.318,-0.104,0.471,0.022,0.317,0.028,38
2016-10-26 15:00:34,7,House,1,Federalist Party,40,0.621,-0.165,0.608,-0.029,0.018,0.03,0.161,-0.025,113
2016-10-26 15:00:34,7,House,13,Democratic-Republican Party,73,-0.053,0.059,-0.084,-0.024,0.018,0.03,0.161,-0.025,113
2016-10-26 15:00:34,7,Senate,1,Federalist Party,16,0.692,-0.108,0.673,-0.1,0.09,-0.204,0.161,-0.176,35
2016-10-26 15:00:34,7,Senate,13,Democratic-Republican Party,19,-0.23,-0.223,-0.27,-0.24,0.09,-0.204,0.161,-0.176,35
2016-10-26 15:00:34,7,President,13,Democratic-Republican Party,1,0.018,0.51,0.018,0.51,0.018,0.51,0.018,0.51,1
2016-10-26 15:00:34,8,House,1,Federalist Party,39,0.617,-0.24,0.601,-0.214,-0.03,0.033,0.08,-0.017,148
2016-10-26 15:00:34,8,House,13,Democratic-Republican Party,109,-0.099,0.066,-0.107,0.054,-0.03,0.033,0.08,-0.017,148
2016-10-26 15:00:34,8,Senate,1,Federalist Party,10,0.669,-0.327,0.655,-0.17,-0.163,-0.233,-0.038,-0.268,44
2016-10-26 15:00:34,8,Senate,13,Democratic-Republican Party,34,-0.211,-0.223,-0.241,-0.297,-0.163,-0.233,-0.038,-0.268,44
2016-10-26 15:00:34,8,President,13,Democratic-Republican Party,1,0.018,0.51,0.018,0.51,0.018,0.51,0.018,0.51,1
2016-10-26 15:00:34,9,House,1,Federalist Party,28,0.611,-0.364,0.571,-0.371,-0.05,-0.1,0.036,-0.041,146
2016-10-26 15:00:34,9,House,13,Democratic-Republican Party,118,-0.104,0.069,-0.091,0.037,-0.05,-0.1,0.036,-0.041,146
2016-10-26 15:00:34,9,Senate,1,Federalist Party,7,0.647,-0.41,0.662,-0.232,-0.047,-0.187,0.035,-0.178,37
