date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:28:24,RH1070001,107,House,1,2001-01-03,,222,206,DENNIS HASTERT ELECTED SPEAKER OF THE HOUSE,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,3.993069243790882,0.11283366185098116,-0.024,0.017,-0.669,0.969,0.995,0.998,-2.378672
2017-01-15 03:28:24,RH1070002,107,House,2,2001-01-03,,199,213,Adopting Rules for the One Hundred Seventh Congress,,,Internal Organization,,Miscellaneous Policy,3.701316546818476,0.2487934748241118,-0.071,-0.014,0.615,-0.961,0.99,0.995,-7.255622
2017-01-15 03:28:24,RH1070003,107,House,3,2001-01-03,,215,206,Adopting Rules for the One Hundred Seventh Congress,,,Internal Organization,,Miscellaneous Policy,3.995105329860399,0.11289721192706839,-0.021,0.029,-0.65,0.941,0.995,0.998,-2.368553
2017-01-15 03:28:24,RH1070004,107,House,4,2001-01-30,,401,0,Federal Firefighters Retirement Age Fairness Act,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070005,107,House,5,2001-01-31,,407,0,Permitting the Use of the Rotunda of the Capitol for a Ceremony as part of the Commemoration of the Days of Remembrance of Victims of the Holocaust,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070006,107,House,6,2001-01-31,,406,1,Expressing Sympathy for the Victims of the Devastating Earthquake that Struck India,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070007,107,House,7,2001-01-31,,382,19,APPROVE JOURNAL,,,Internal Organization,,Miscellaneous Policy,3.736649293611436,2.4895052873154904,-0.655,0.042,-0.23,0.356,-0.053,0.95,-60.635988
2017-01-15 03:28:24,RH1070008,107,House,8,2001-02-06,,410,0,Recognizing the 90th birthday of Ronald Reagan,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070009,107,House,9,2001-02-06,,412,0,Honoring the contributions of Catholic schools,Education,,Domestic Social Policy,,Social Welfare,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070010,107,House,10,2001-02-07,,413,0,"To designate the Goro Hokama Post Office Building in Lanai City, Hawaii",,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070011,107,House,11,2001-02-13,,410,1,"Congratulating the Prime Minister-elect of Israel, Airel Sharon, calling for an end to violence in the Middle East, reaffirming the friendship between the Governments of the United States and Israel",,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070012,107,House,12,2001-02-13,,407,2,Social Security and Medicare Lock-Box Act,Social Security,,Budget Special Interest,Domestic Social Policy,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070013,107,House,13,2001-02-14,,409,6,Electronic Commerce Enhancement Act,Radio/Television/Motion Pictures/Telecommunications,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070014,107,House,14,2001-02-14,,404,4,Rail Passenger Disaster Family Assistance Act,,,Domestic Social Policy,Budget Special Interest,Social Welfare,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070015,107,House,15,2001-02-27,,395,0,"Honoring the Ultimate Sacrifice Made by 28 U.S. Soldiers Killed by an Iraqi Missile Attack on February 25, 1991, During Operation Desert Storm",,,Defense Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070016,107,House,16,2001-02-28,,408,2,Family Farmer Bankruptcy Relief Extension,Agriculture,,Domestic Social Policy,,Civil Liberties,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070017,107,House,17,2001-02-28,,412,0,Edward N. Cahn Federal Building and United States Courthouse Designation,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070018,107,House,18,2001-02-28,,413,0,James C. Corman Federal Building Designation,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070019,107,House,19,2001-02-28,,413,1,Honoring the National Institute of Standards and Technology and its Employees for 100 Years of Service to the Nation,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070020,107,House,20,2001-02-28,,411,0,Commending African American Pioneers in Colorado,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070021,107,House,21,2001-03-01,,281,132,Providing for consideration of H.R. 333; Bankruptcy Abuse Prevention and Consumer Protection Act,,,Domestic Social Policy,,Civil Liberties,-38.65935649033415,-11.46682887762924,-0.297,0.015,-0.254,-0.038,0.697,0.903,-94.812713
2017-01-15 03:28:24,RH1070022,107,House,22,2001-03-01,,160,258,BANKRUPTCY REFORM -- DEMOCRATIC SUB,,,Domestic Social Policy,,Civil Liberties,-10.752216520035335,-2.390770882208303,-0.235,0.136,0.277,0.149,0.844,0.94,-69.642684
2017-01-15 03:28:24,RH1070023,107,House,23,2001-03-01,,165,253,Bankruptcy Abuse Prevention and Consumer Protection Act,,,Domestic Social Policy,,Civil Liberties,-23.019059352748563,-4.264564098963981,-0.187,0.04,0.199,0.05,0.764,0.907,-93.479489
2017-01-15 03:28:24,RH1070024,107,House,24,2001-03-01,,306,108,Bankruptcy Abuse Prevention and Consumer Protection Act,,,Domestic Social Policy,,Civil Liberties,-14.590655482840859,-5.375361217685436,-0.368,-0.006,-0.333,-0.132,0.602,0.896,-88.585834
2017-01-15 03:28:24,RH1070025,107,House,25,2001-03-06,,400,2,"To Authorize Appropriations to Carry Out Part B of Title I of the Energy Policy and Conservation Act, relating to the Strategic Petroleum Reserve",Energy,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1070026,107,House,26,2001-03-06,,401,1,To Amend the Consumer Product Safety Act to Provide that Low-Speed Electric Bicycles are Consumer Products Subject to Such Act,,,Regulation Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
