date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood
2017-01-15 03:28:24,RH1060001,106,House,1,1999-01-06,,220,205,"DENNIS HASTERT ELECTED SPEAKER OF THE HOUSE OVER RICHARD A. GEPHARDT. YEA IS A VOTE FOR HASTERT, NAY IS A VOTE FOR GEPHARDT.",Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,3.9258940878754984,-0.05640629307564245,0.035,0.081,-0.672,0.99,1.0,1.0,-1.095566
2017-01-15 03:28:24,RH1060002,106,House,2,1999-01-06,,216,207,Adopting rules for the One Hundred Sixth Congress,,,Internal Organization,,Miscellaneous Policy,3.9250663564658006,-0.05752718976337144,0.033,0.072,-0.661,0.974,1.0,1.0,-1.076216
2017-01-15 03:28:24,RH1060003,106,House,3,1999-01-06,,201,218,Adopting rules for the One Hundred Sixth Congress,,,Internal Organization,,Miscellaneous Policy,3.907411137925224,-0.053777867310205375,0.024,0.04,0.656,-0.971,1.0,1.0,-1.075022
2017-01-15 03:28:24,RH1060004,106,House,4,1999-01-06,,217,204,Adopting rules for the One Hundred Sixth Congress,,,Internal Organization,,Miscellaneous Policy,3.9212420418608747,-0.05463726125582624,0.03,0.063,-0.659,0.972,1.0,1.0,-1.068747
2017-01-15 03:28:24,RH1060005,106,House,5,1999-01-06,,223,198,Appointment of Managers to Conduct an Impeachment Trial,Presidential Impeachment,,Domestic Social Policy,,Civil Liberties,48.3217407388708,2.014191370293703,-0.041,0.033,-0.777,0.093,0.99,0.995,-5.212158
2017-01-15 03:28:24,RH1060006,106,House,6,1999-02-02,,402,2,Small Business Investment Company Technical Corrections Act,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060007,106,House,7,1999-02-02,,409,0,Dante B. Fascell North-South Center Designation,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060008,106,House,8,1999-02-03,,408,3,Federal Aviation Administration Programs Extension,Airlines/Airports/Airline Industry,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060009,106,House,9,1999-02-03,,407,1,Aviation War Risk Insurance Program Extension,Airlines/Airports/Airline Industry,,Budget Special Interest,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060010,106,House,10,1999-02-03,,383,18,JOURNAL QUESTION: ON APPROVING THE JOURNAL,,,Internal Organization,,Miscellaneous Policy,4.0083121288817,2.936200848145748,-0.746,-0.054,-0.219,0.316,0.0,0.955,-62.440134
2017-01-15 03:28:24,RH1060011,106,House,11,1999-02-09,,411,4,Microloan Program Technical Corrections Act,,,Budget Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060012,106,House,12,1999-02-09,,413,0,Paperwork Elimination Act,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060013,106,House,13,1999-02-09,,414,0,Miscellaneous Trade and Technical Corrections Act,Tariffs,,Regulation Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060014,106,House,14,1999-02-10,,210,216,Boehlert of New York Amendment,,,Budget Special Interest,,Government Management,-2.003243391369374,0.07280539651783756,-0.06,0.193,0.257,0.742,0.824,0.913,-79.705101
2017-01-15 03:28:24,RH1060015,106,House,15,1999-02-10,,203,217,Waxman of California Amendment,,,Budget Special Interest,,Government Management,-2.9899679898303293,0.044859551857624615,0.014,0.003,0.259,0.501,0.862,0.933,-64.284931
2017-01-15 03:28:24,RH1060016,106,House,16,1999-02-10,,274,149,Mandates Information Act,,,Budget Special Interest,,Government Management,-3.7833116025411373,-0.924374445439325,-0.409,0.623,-0.261,-0.399,0.678,0.887,-101.548195
2017-01-15 03:28:24,RH1060017,106,House,17,1999-02-10,,420,0,Honoring the life and legacy of King Hussein ibn Talal al-Hashem,,,Foreign Policy Resolutions,,Foreign and Defense Policy,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060018,106,House,18,1999-02-11,,210,214,Kucinich of Ohio Amendment,,,Government Organization,,Government Management,-6.272744706123288,0.1789988493958629,-0.066,0.593,0.295,0.272,0.914,0.958,-50.784015
2017-01-15 03:28:24,RH1060019,106,House,19,1999-02-11,,274,152,Small Business Paperwork Reduction Act Amendments,,,Government Organization,,Government Management,-6.440345982039987,-1.5794790178217553,-0.344,0.636,-0.255,-0.229,0.724,0.901,-99.201965
2017-01-15 03:28:24,RH1060020,106,House,20,1999-02-11,,413,2,Presidential and Executive Office Financial Accountability Act,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060021,106,House,21,1999-02-23,,394,21,Coastal Heritage Trail Route in New Jersey,Parks and Conservation,,Budget Special Interest,,Government Management,-59.33630598093573,39.62797086536039,0.663,0.288,0.277,0.027,0.048,0.952,-54.170045
2017-01-15 03:28:24,RH1060022,106,House,22,1999-02-23,,395,22,"Sudbury, Assabet, and Concord Wild and Scenic River Act",Parks and Conservation,Pollution and Environmental Protection,Budget Special Interest,,Government Management,-31.142909831704674,20.65760557094463,0.648,0.477,0.28,0.052,0.045,0.95,-56.339116
2017-01-15 03:28:24,RH1060023,106,House,23,1999-02-24,,415,2,Wireless Communications and Public Safety Act,Radio/Television/Motion Pictures/Telecommunications,,Regulation Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060024,106,House,24,1999-02-24,,419,1,"Government Waste, Fraud and Error Reduction Act",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060025,106,House,25,1999-02-24,,426,0,Federal Financial Assistance Management Improvement Act,,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060026,106,House,26,1999-02-25,,362,28,JOURNAL QUESTION: ON APPROVING THE JOURNAL,,,Internal Organization,,Miscellaneous Policy,2.625013347410518,1.7855083821738054,-0.628,0.137,-0.182,0.401,0.036,0.931,-80.931058
2017-01-15 03:28:24,RH1060027,106,House,27,1999-02-25,,403,3,Wireless Privacy Enhancement Act,Radio/Television/Motion Pictures/Telecommunications,,Regulation Special Interest,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
2017-01-15 03:28:24,RH1060028,106,House,28,1999-03-02,,416,1,Expressing the Sense of the Congress Concerning the Social Security Guarantee Initiative,Social Security,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0,,,0.0
