date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-25 03:21:58,RS1070001,107,Senate,1,2001-01-23,,101,0,"Mitchell E. Daniels, Jr., of Indiana, to be Director of the Office of Management and Budget",,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070002,107,Senate,2,2001-01-23,,101,0,"Anthony Joseph Principi, of California, to be Secretary of Veterans Affairs",Military Pensions/Veterans Benefits,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070003,107,Senate,3,2001-01-23,,101,0,"Melquiades Rafael Martinez, of Florida, to be Secretary of Housing and Urban Development",Housing/Housing Programs/Rent Control,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070004,107,Senate,4,2001-01-24,,101,0,"Tommy G. Thompson, of Wisconsin, to be Secretary of Health and Human Services",Public Health,,Government Organization,Domestic Social Policy,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070005,107,Senate,5,2001-01-24,,101,0,"Norman Y. Mineta, of California, to be Secretary of Transportation",,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070006,107,Senate,6,2001-01-30,,76,24,"Gale Ann Norton, of Colorado, to be Secretary of the Interior",Parks and Conservation,,Government Organization,,Government Management,-0.315,0.036,-0.332,-0.191,0.5,0.88,-24.05306,0.786
2017-01-25 03:21:58,RS1070007,107,Senate,7,2001-01-30,,100,0,"Christine Todd Whitman, of New Jersey, to be Administrator of the Environmental Protection Agency",Pollution and Environmental Protection,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070008,107,Senate,8,2001-02-01,CQ,59,42,"John Ashcroft, of Missouri, to be Attorney General",Judiciary,,Government Organization,,Government Management,-0.148,-0.134,-0.299,0.007,0.881,0.95,-18.539945,0.832
2017-01-25 03:21:58,RS1070009,107,Senate,9,2001-02-06,,99,0,"Robert B. Zoellick, of Virginia, to be United States Trade Representative, with the rank of Ambassador",,,Government Organization,Foreign Policy Resolutions,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-25 03:21:58,RS1070010,107,Senate,10,2001-02-07,,99,0,"A bill to amend the Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001, to adjust a condition on the payment of arrearages to the United Nations that sets the maximum share of any United Nations peacekeping operation's budget that may be assessed of any  country.",U. N.,,Foreign Policy Resolutions,,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
