id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1120001,112,Senate,1,2011-01-26,,97,0,"A resolution honoring the victims and heroes of the shooting on January 8, 2011 in Tucson, Arizona.",,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1120002,112,Senate,2,2011-01-27,,92,4,"To amend title 18, United States Code, to provide penalties for aiming laser pointers at airplanes, and for other purposes.",,,Internal Organization,,Miscellaneous Policy,2.3605996097830744,-1.9113010999231843,0.769,-0.096,0.551,-1.35
RS1120003,112,Senate,3,2011-01-27,,81,15,To enhance accountability and transparency among various Executive agencies.,,,Internal Organization,,Miscellaneous Policy,-24.068867426633616,12.590430868689184,0.529,-0.142,1.211,0.291
RS1120004,112,Senate,4,2011-01-27,,12,84,A bill to reduce the number of executive positions subject to Senate confirmation.,,,Internal Organization,,Miscellaneous Policy,-3.7257497832031605,-2.350777890734393,-0.504,-0.473,1.423,2.209
RS1120005,112,Senate,5,2011-01-27,,44,51,To prevent the creation of duplicative and overlapping Federal programs.,,,Internal Organization,,Miscellaneous Policy,9.639472090765734,0.9843287322533743,-0.135,-0.317,0.25,-0.15
RS1120006,112,Senate,6,2011-01-27,,46,49,A resolution to provide for expedited Senate consideration of certain nominations subject to advice and consent.,,,Internal Organization,,Miscellaneous Policy,35.15106124057312,1.7799338380052765,-0.079,-0.997,1.331,-0.219
RS1120007,112,Senate,7,2011-02-02,,44,54,"David H. Petraeus, of New Hampshire, to be Director of the Central Intelligence Agency",Public Health,,Domestic Social Policy,Regulation General Interest,Social Welfare,-5.226852714066433,-0.6493750698393811,-0.081,-0.226,0.995,1.101
RS1120008,112,Senate,8,2011-02-02,,81,17,A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,Public Health,,Domestic Social Policy,Regulation General Interest,Social Welfare,-20.543642919839932,-8.058806311294692,-0.408,0.323,-1.332,-0.375
RS1120009,112,Senate,9,2011-02-02,,47,52,A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,Public Health,,Domestic Social Policy,Regulation General Interest,Social Welfare,4.807409354729713,-0.19702968999662113,0.031,-0.048,-0.65,0.782
RS1120010,112,Senate,10,2011-02-03,,96,1,A bill to express the sense of the Senate on shared sacrifice in resolving the budget deficit.,Airlines/Airports/Airline Industry,,Domestic Social Policy,Regulation Special Interest,Civil Liberties,,,0.0,0.0,0.0,0.0
