date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-02 23:33:55,RS0850001,85,Senate,1,1957-01-03,,,SENATE ORGANIZATION--SUBSTITUTE REPUBL FOR DEMOCRATIC ORG,46,49,,,Internal Organization,,Miscellaneous Policy,0.002,-0.095,-0.277,0.597,0.957,0.979,-8.792,0.912
2017-02-02 23:33:55,RS0850002,85,Senate,2,1957-01-04,CQ,,SEN RULES--EASE RULES ON DEBATE LIMITS (TABLE),55,40,,,Internal Organization,,Miscellaneous Policy,0.011,-0.045,-0.298,-1.131,0.8,0.916,-22.552,0.789
2017-02-02 23:33:55,RS0850003,85,Senate,3,1957-02-18,,,DEFICIENCY APPS--PERMISSIVE AID: LIVESTOCK IN DROUGHT AREA,35,55,Agriculture,,Budget Special Interest,,Agriculture,-0.12,-0.48,-0.225,1.269,0.771,0.911,-14.995,0.847
2017-02-02 23:33:55,RS0850004,85,Senate,4,1957-02-18,,,DEFICIENCY APPS--STRATEGIC MINERALS PURCH PROGRAM,70,18,,,Defense Policy Budget,,Foreign and Defense Policy,0.428,0.903,0.17,-0.052,0.167,0.83,-34.626,0.675
2017-02-02 23:33:55,RS0850005,85,Senate,5,1957-02-28,,,MID EAST DOCTR--TROOP EMPLOY RE US CONST NOT U.N. CHARTER,95,0,U. N.,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-02-02 23:33:55,RS0850006,85,Senate,6,1957-03-02,,,AUTH MIL & ECON CO-OP W/ MID EAST NATNS COUNTERACT COMMUNI,32,64,Communists/Communism/Unamerican Activities,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,0.553,-0.082,-0.188,-1.554,0.469,0.823,-32.813,0.71
2017-02-02 23:33:55,RS0850007,85,Senate,7,1957-03-05,,,URGE PRES CONT. SUPPORT U.N. EMER FORCE IN MIDDLE EAST,50,44,U. N.,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,-0.013,-0.486,0.257,-0.311,0.909,0.957,-17.426,0.831
2017-02-02 23:33:55,RS0850008,85,Senate,8,1957-03-05,,,CONG MUST APPROVE ARMED FORCE ACTION IN MIDDLE EAST,29,65,,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,-0.668,-0.713,0.184,-0.424,0.172,0.745,-43.646,0.629
2017-02-02 23:33:55,RS0850009,85,Senate,9,1957-03-05,,,SET EXPIRE DATE FOR MIL & ECON ASST FOR MIDDLE EAST,31,61,,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,0.656,-0.692,-0.222,-0.702,0.323,0.772,-42.808,0.628
2017-02-02 23:33:55,RS0850010,85,Senate,10,1957-03-05,CQ,,AUTH PROGRAM OF MIL & ECON CO-OP W/ MIDDLE EAST (PASS),75,22,,,Foreign Policy Budget,Defense Policy Budget,Foreign and Defense Policy,-0.452,0.516,-0.046,0.75,0.227,0.825,-34.133,0.703
2017-02-02 23:33:55,RS0850011,85,Senate,11,1957-03-19,,,PERMIT FED SAVINGS & LOAN BRANCHES IN CERT. STATES,27,64,Banking and Finance,,Budget Special Interest,,Government Management,-0.119,-0.248,0.167,0.271,0.296,0.791,-33.532,0.692
2017-02-02 23:33:55,RS0850012,85,Senate,12,1957-03-21,,,CUMULATIVE VOTING IN NATL BANK DIRECTOR ELECTIONS,32,61,Banking and Finance,,Budget Special Interest,,Government Management,-0.325,0.925,0.216,0.25,0.5,0.828,-34.861,0.687
2017-02-02 23:33:55,RS0850013,85,Senate,13,1957-03-21,,,FINANCE INSTIT BILL--NOT APPROVE MERGER VOILATE ANTITRUST,33,62,Banking and Finance,Interstate Commerce/Anti-trust/Restraint of Commerce,Budget Special Interest,,Government Management,-0.161,-0.531,0.196,-0.009,0.606,0.863,-31.496,0.718
2017-02-02 23:33:55,RS0850014,85,Senate,14,1957-03-27,,,EXTEND CURRENT 52% CORP TAX--LOWER TAX FOR SM CORPS,38,53,Tax rates,,Budget General Interest,,Government Management,-0.256,-0.967,0.142,-0.108,0.526,0.802,-42.464,0.627
