date_generated,id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-01-23 07:31:50,RH0830001,83,House,1,1953-01-03,,220,201,ELECTION OF SPEAKER,Election of the Speaker of the House,,Internal Organization,,Miscellaneous Policy,-0.012,0.039,-0.649,1.585,1.0,1.0,-5.549746,0.987
2017-01-23 07:31:50,RH0830002,83,House,2,1953-02-03,,389,5,"HR 1719.  AMEND THE REORGANIZATION ACT OF 1949 SO THAT SUCH ACT WILL APPLY TO REORGANIZATION PLANS TRANSMITTED TO CON- GRESS AT ANY TIME BEFORE APRIL 1, 1955.  ON PASSAGE.",,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 07:31:50,RH0830003,83,House,3,1953-02-03,,342,18,S 243.  AMEND PUBLIC LAW 73  81ST CONG. 1ST SESS. TO PROVIDE FOR AN UNDER SECRETARY OF STATE (FOR ADMINISTRATION.)  ON PASSAGE.,,,Government Organization,,Government Management,-0.806,0.063,-0.229,0.572,0.056,0.953,-62.898452,0.84
2017-01-23 07:31:50,RH0830004,83,House,4,1953-02-19,,197,213,"HR 3053.  BILL MAKING SUPPLEMENTAL APPROPRIATIONS FOR THE FISCAL YEAR ENDING JUNE 30 1 953.  ON MOTION TO RECOMMIT W/INSTRUCTIONS.  (VETERANS' ADMINISTRATION INCREASE $10,000,000.)",Military Pensions/Veterans Benefits,,Defense Policy Budget,,Foreign and Defense Policy,0.018,0.034,0.223,-0.065,0.782,0.895,-104.036227,0.776
2017-01-23 07:31:50,RH0830005,83,House,5,1953-02-19,,370,2,HR 3053.  ON PASSAGE.,,,Budget Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 07:31:50,RH0830006,83,House,6,1953-02-24,,330,2,H RES 119.  RESOLUTION PROVIDING FOR THE OPERATION OF HUAC. PASSAGE.,Communists/Communism/Unamerican Activities,,Internal Organization,Budget Special Interest,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 07:31:50,RH0830007,83,House,7,1953-02-25,,374,0,HR 2332.  REQUIRE AN ANNUAL REVIEW OF MILITARY PERSONNEL RE- QUIREMENTS.  ON SUSPENDING RULES AND PASS.,,,Defense Policy Resolutions,,Foreign and Defense Policy,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 07:31:50,RH0830008,83,House,8,1953-02-25,,101,312,H J RES 160.  JOINT RESOLUTION TO AMEND SECTION 2 (A) OF THE NATIONAL HOUSING ACT AS AMEN DED.  ON MOTION TO RECOMMIT WITH INSTRUCTIONS.,Housing/Housing Programs/Rent Control,,Budget Special Interest,,Social Welfare,-0.072,-0.669,0.265,0.296,0.693,0.925,-87.903674,0.808
2017-01-23 07:31:50,RH0830009,83,House,9,1953-03-10,,190,236,HR 3575.  ENABLE THE PEOPLE OF HAWAII TO FORM A CONSTITUTION AND STATE GOV'T AND TO BE ADMITTED INTO THE UNION ON EQUAL FOOTING W/THE ORIGINAL STATES.  MOTION TO RECOMMIT.,,,Government Organization,,Government Management,-0.145,0.053,0.105,-0.386,0.726,0.878,-138.729092,0.722
2017-01-23 07:31:50,RH0830010,83,House,10,1953-03-13,CQ,284,144,HR 3575.  ON PASSAGE.,,,Government Organization,,Government Management,-0.296,0.508,0.015,0.457,0.479,0.825,-191.93048,0.639
2017-01-23 07:31:50,RH0830011,83,House,11,1953-03-18,,300,93,H J RES 223.  JOINT RESOLUTION PROVIDING THAT REORGANIZATION PLAN NO. 1 OF 1953 SHALL TAKE EFFECT 10 DAYS AFTER THE DATE OF THE ENACTMENT OF THIS JOINT RESOLUTION.  PASSAGE.,,,Government Organization,,Government Management,-0.652,-0.21,-0.135,0.367,-0.054,0.751,-172.361279,0.645
2017-01-23 07:31:50,RH0830012,83,House,12,1953-03-19,,177,203,"HR 3053.  SUPPLEMENTAL APPROPRIATIONS FOR THE FISCAL YEAR ENDING JUNE 30 1953.  CONFER ENCE REPORT ON MOTION TO RECEDE AND CONCUR IN SENATE AMEND. NO. 33, WITH AN AMEND.  (REA LOAN AUTHORIZATION.  REDUCE ELECTRIFICATION LOANS $15,- 000,000 AND INCREASE TLEPHONE LOANS $10,000,000.)",,,Budget Special Interest,,Government Management,-0.03,-0.167,-0.113,0.487,0.729,0.874,-112.749757,0.743
2017-01-23 07:31:50,RH0830013,83,House,13,1953-03-19,,182,185,HR 3053.  CONFERENCE REPORT ON MOTION TO RECEDE AND CONCUR IN SENATE AMEND. NO. 33 W/AN  AMEND.  (RURAL TELEPHONE PRO- GRAM INCREASE $10000000.),,,Budget Special Interest,,Government Management,0.299,0.214,0.116,-0.64,0.786,0.894,-98.79186,0.764
2017-01-23 07:31:50,RH0830014,83,House,14,1953-04-01,,121,298,"HR 4198.  CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS W/IN STATE BOUNDARIES AND TO THE NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS, AND TO PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND WATERS, AND THE RESOURCESOF THE OUTER CONTINENTAL SHELF",,,Regulation General Interest,,Government Management,-0.186,0.135,0.212,0.245,0.628,0.893,-114.036968,0.762
2017-01-23 07:31:50,RH0830015,83,House,15,1953-04-01,CQ,303,124,HR 4198.  ON PASSAGE.,,,Regulation General Interest,,Government Management,-0.177,0.085,-0.194,-0.24,0.565,0.874,-128.334999,0.74
2017-01-23 07:31:50,RH0830016,83,House,16,1953-04-15,,284,112,"HR 3480.  AMEND SECTION 509 OF TITLE V OF THE AGRICULTURAL ACT OF 1949, TO EXTEND FOR 3 YEARS THE PERIOD DURING WHICH AGRICULTURAL WORKERS MAY BE MADE AVAILABLE FOR EMPLOYMENT UNDER SUCH TITLE.  ON MOTION.",Union Regulation/Davis-Bacon/Situs Picketing,,Regulation Special Interest,,Agriculture,-0.27,0.215,-0.19,-0.493,0.554,0.874,-119.177727,0.74
2017-01-23 07:31:50,RH0830017,83,House,17,1953-04-15,,110,272,HR 4004.  AMEND SECTION 5210 OF THE REVISED STATUTES.  ON MOTION TO RECOMMIT.,,,Government Organization,,Government Management,-0.258,-0.672,0.225,-0.018,0.564,0.874,-107.564938,0.755
2017-01-23 07:31:50,RH0830018,83,House,18,1953-04-22,,171,253,"HR 4663.  APPROPRIATIONS FOR THE EX. OFFICE AND SUNDRY INDE- PENDENT EXECUTIVE BUREAUS BO ARDS, COMMISSIONS, CORPORA- TIONS, AGENCIES AND OFFICES.   ON MOTION TO RECOMMIT W/IN- STRUCTIONS.  (PUBLIC HOUSING)",Housing/Housing Programs/Rent Control,,Budget Special Interest,,Social Welfare,0.009,0.014,0.442,0.628,0.778,0.91,-90.068902,0.809
2017-01-23 07:31:50,RH0830019,83,House,19,1953-04-24,,120,222,HR 1432.  PROVIDE PRICE SUPPORT FOR THE 1952 CROP OF MARY- LAND TOBACCO.  ON PASSAGE.,Price Controls,,Budget Special Interest,,Agriculture,0.293,-0.068,-0.076,0.038,0.083,0.678,-201.384787,0.555
2017-01-23 07:31:50,RH0830020,83,House,20,1953-04-27,,258,107,HR 43639  AUTHORIZE THE PRES. TO ESTABLISH DAYLIGHT-SAVING TIME EACH YEAR IN D.C.  ON COMMITTEE AMEND. AS AMENDED.,,,D. C.,Domestic Social Policy,Government Management,-0.167,0.703,0.065,0.494,0.28,0.789,-156.511172,0.651
2017-01-23 07:31:50,RH0830021,83,House,21,1953-04-28,,183,228,HR 4828.  APPROPRIATIONS FOR THE DEPT. OF THE INTERIOR.  ON MOTION TO RECOMMIT W/INSTRUCTIONS.  (SOUTHERN POWER AND BONNEVILLE POWER ADMIN.),,,Budget Special Interest,,Government Management,-0.049,-0.329,0.26,-0.116,0.798,0.91,-84.211177,0.815
2017-01-23 07:31:50,RH0830022,83,House,22,1953-05-05,,214,189,"HR 4974.  APPROPRIATIONS FOR THE DEPTS. OF STATE, JUSTICE, AND COMMERCE.  ON MOTION TO RECOMMIT W/INSTRUCTIONS.  (RE- GARDING SUSPENSION AND DISMISSAL OF EMPLOYEES)",,,Regulation Special Interest,,Government Management,0.07,-0.057,0.197,-0.173,0.804,0.908,-102.596651,0.775
2017-01-23 07:31:50,RH0830023,83,House,23,1953-05-05,,344,5,HR 4974.  PASSAGE.,,,Budget Special Interest,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-01-23 07:31:50,RH0830024,83,House,24,1953-05-13,,316,98,HR 5134.  AMEND THE SUBMERGED LANDS ACT.,,,Budget Special Interest,,Government Management,-0.183,-0.268,-0.179,-0.219,0.49,0.879,-121.301664,0.746
2017-01-23 07:31:50,RH0830025,83,House,25,1953-05-13,,295,127,"H RES 232.  RESOLUTION PROVIDING FOR THE CONSIDERATION OF HR 4198, A BILL TO CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITHIN STATE BOUNDARIES AND TO THE NATURAL RESOURCES W/IN SUCH LANDS AND WATERS, AND TO PROVIDE OR THE USE AND CONTROL OF SAID LANDS AND RESOURCES AND THE RESOURCES OF THE CONTINENTAL SHELF, W/SENATE AMENDMENTS AND FOR  AGREEING TO THE SENATE AMEND- MENTS.",,,Regulation General Interest,,Government Management,-0.148,0.009,-0.201,-0.217,0.591,0.877,-126.019545,0.742
