id,congress,chamber,rollnumber,date,keyvote,yea,nay,description,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,slope,intercept,mid.dim1,mid.dim2,spread.dim1,spread.dim2
RS1110398,111,Senate,398,2010-01-20,,98,0,"Beverly Baldwin Martin, of Georgia, to be United States Circuit Judge for the Eleventh Circuit",Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110399,111,Senate,399,2010-01-21,,53,46,To establish a Commission on Congressional Budgetary Accountability and Review of Federal Agencies.,Debt Ceilings,Banking and Finance,Budget General Interest,Regulation General Interest,Government Management,33.36740339111215,6.5703784680490935,-0.197,-0.003,-0.375,0.065
RS1110400,111,Senate,400,2010-01-25,,90,0,An Act to provide for reconciliation pursuant to Title II of the concurrent resolution on the budget for fiscal year 2010 (S. Con. Res. 13).,Judiciary,,Government Organization,,Government Management,,,0.0,0.0,0.0,0.0
RS1110401,111,Senate,401,2010-01-26,,97,0,To strike the penalty for failure to comply with the individual mandate.,Debt Ceilings,Social Security,Budget General Interest,Regulation General Interest,Government Management,,,0.0,0.0,0.0,0.0
RS1110402,111,Senate,402,2010-01-26,,54,46,To provide an inflation adjustment for the additional hospital insurance tax on high-income taxpayers.,Debt Ceilings,,Budget General Interest,Government Organization,Government Management,-3.855788836306292,1.0483270516442271,0.497,-0.868,0.036,0.054
RS1110403,111,Senate,403,2010-01-26,,94,0,To strike the 2-year limitation on the small business tax credit for taxable years after the Exchanges open.,Debt Ceilings,,Budget General Interest,Government Organization,Government Management,,,0.0,0.0,0.0,0.0
RS1110404,111,Senate,404,2010-01-26,,46,48,"To give States incentives to reduce fraud, waste, and abuse in their Medicaid programs.",Debt Ceilings,,Budget General Interest,Internal Organization,Government Management,5.659034908458159,0.5708756675155082,-0.191,-0.51,-0.227,0.232
RS1110405,111,Senate,405,2010-01-26,,33,61,An Act to provide for reconciliation pursuant to Title II of the concurrent resolution on the budget for fiscal year 2010 (S. Con. Res. 13).,Debt Ceilings,,Budget General Interest,,Government Management,-7.229604068074299,1.396391718056073,0.324,-0.946,-0.26,-0.208
RS1110406,111,Senate,406,2010-01-26,,37,57,"A bill to provide a fully offset temporary extension of certain programs so as not to increase the deficit, and for other purposes.",Debt Ceilings,,Budget General Interest,,Government Management,4.08693944256445,-0.6308214072626593,0.274,0.489,-0.277,0.392
RS1110407,111,Senate,407,2010-01-28,,51,49,"A bill to provide a temporary extension of certain programs, and for other purposes.",Debt Ceilings,,Budget General Interest,Government Organization,Government Management,-12.75812482601347,-1.6756899638108014,-0.208,0.978,-0.225,-0.102
RS1110408,111,Senate,408,2010-01-28,,56,44,A concurrent resolution providing for an adjournment or recess of the two Houses.,Debt Ceilings,,Budget General Interest,,Government Management,-69.11501489079029,-13.415312888813316,-0.194,-0.007,-0.239,-0.02
RS1110409,111,Senate,409,2010-01-28,,60,40,"A bill to provide a temporary extension of certain programs, and for other purposes.",Debt Ceilings,Tax rates,Budget General Interest,,Government Management,5.131563263352603,-0.2755528041031214,-0.011,-0.332,0.661,-0.745
RS1110410,111,Senate,410,2010-01-28,,60,40,To reduce the deficit by establishing 5-year discretionary spending caps.,Debt Ceilings,,Budget General Interest,,Government Management,5.131563263352603,-0.2755528041031214,-0.011,-0.332,0.661,-0.745
RS1110411,111,Senate,411,2010-01-28,,61,39,In the nature of a substitute.,Debt Ceilings,,Budget General Interest,,Government Management,5.070414005920205,-0.27001420391711717,-0.014,-0.341,0.654,-0.746
RS1110412,111,Senate,412,2010-01-28,,77,23,To pay for the full cost of extending additional unemployment insurance and other Federal programs by rescinding unspent federal funds not obligated for any purpose.,Banking and Finance,,Government Organization,,Government Management,-22.941943576022442,10.94757128629783,0.438,0.899,0.119,0.03
RS1110413,111,Senate,413,2010-01-28,,71,30,In the nature of a substitute.,Banking and Finance,,Government Organization,,Government Management,-59.282753358209256,26.864845970895654,0.438,0.899,0.082,0.008
