date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-04 08:34:39,RS1080001,108,Senate,1,2003-01-07,,On the Motion to Adjourn,ADJOURN TO TIME CERTAIN,51,46,,,Internal Organization,,Miscellaneous Policy,0.059,-0.116,-0.624,1.001,0.978,0.99,-1.784,0.982
2017-02-04 08:34:39,RS1080002,108,Senate,2,2003-01-16,,On the Amendment,"Consolidated Appropriations Resolution, 2003",45,52,,,Budget Special Interest,Defense Policy Budget,Government Management,-0.019,-0.189,0.678,-0.694,1.0,1.0,-0.492,0.995
2017-02-04 08:34:39,RS1080003,108,Senate,3,2003-01-16,,On the Amendment,"Consolidated Appropriations Resolution, 2003",45,52,,,Budget Special Interest,Defense Policy Budget,Government Management,-0.019,-0.189,0.678,-0.694,1.0,1.0,-0.492,0.995
2017-02-04 08:34:39,RS1080004,108,Senate,4,2003-01-16,,On the Amendment,"Consolidated Appropriations Resolution, 2003",52,45,Education,,Budget Special Interest,,Government Management,-0.057,0.007,-0.738,0.202,0.978,0.99,-1.489,0.985
2017-02-04 08:34:39,RS1080005,108,Senate,5,2003-01-16,,On the Amendment,"Consolidated Appropriations Resolution, 2003",46,51,Education,,Budget Special Interest,,Government Management,-0.012,-0.148,0.681,-0.698,1.0,1.0,-0.498,0.995
2017-02-04 08:34:39,RS1080006,108,Senate,6,2003-01-17,,On the Motion to Table,"Consolidated Appropriations Resolution, 2003",52,46,Narcotics,,Budget Special Interest,,Government Management,-0.057,-0.998,-0.529,0.05,0.957,0.98,-5.359,0.947
2017-02-04 08:34:39,RS1080007,108,Senate,7,2003-01-17,,On the Amendment,"Consolidated Appropriations Resolution, 2003",46,52,,,Budget Special Interest,,Government Management,-0.057,-0.001,0.739,-0.203,0.978,0.99,-1.489,0.985
2017-02-04 08:34:39,RS1080008,108,Senate,8,2003-01-17,,On the Motion to Table,"Consolidated Appropriations Resolution, 2003",62,33,Shipping/Maritime,,Budget Special Interest,Regulation Special Interest,Government Management,0.367,0.814,0.193,-0.089,0.545,0.842,-36.295,0.682
2017-02-04 08:34:39,RS1080009,108,Senate,9,2003-01-21,,On Passage of the Bill,National AMBER Alert Network Act of 2003,92,0,"Children (aid, infant mortality, etc.)",,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-04 08:34:39,RS1080010,108,Senate,10,2003-01-21,,On the Amendment,"Consolidated Appropriations Resolution, 2003",88,4,Emergency Fuel Assistance,,Budget Special Interest,,Government Management,0.574,-0.099,0.715,-0.366,0.25,0.967,-7.37,0.923
2017-02-04 08:34:39,RS1080011,108,Senate,11,2003-01-22,,On the Amendment,"Consolidated Appropriations Resolution, 2003",51,45,Pollution and Environmental Protection,,Regulation Special Interest,,Government Management,-0.345,0.844,-0.51,-1.023,0.889,0.948,-16.088,0.846
2017-02-04 08:34:39,RS1080012,108,Senate,12,2003-01-22,CQ,On the Amendment,"Consolidated Appropriations Resolution, 2003",46,51,Pollution and Environmental Protection,,Regulation Special Interest,,Government Management,-0.226,0.654,0.324,0.574,0.826,0.918,-19.659,0.817
2017-02-04 08:34:39,RS1080013,108,Senate,13,2003-01-22,,On the Nomination,"Thomas J. Ridge, of Pennsylvania, to be Secretary of Homeland Security",95,0,,,Government Organization,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-04 08:34:39,RS1080014,108,Senate,14,2003-01-22,,On the Motion,"Consolidated Appropriations Resolution, 2003",45,49,Unemployment/Jobs,,Domestic Social Policy,Budget Special Interest,Social Welfare,0.08,-0.17,0.738,0.136,1.0,1.0,-2.595,0.973
