date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-01 05:20:49,RH0180001,18,House,1,1823-12-26,,,LAND CLAIM OF JACOB SCHAEFER,79,85,,,Budget Special Interest,,Government Management,0.739,0.587,0.02,-0.164,0.154,0.595,-106.76476,0.522
2017-02-01 05:20:49,RH0180002,18,House,2,1824-01-07,,,DISPUTED ELEC. PARMINIO ADAMS,116,85,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,-0.31,-0.597,-0.031,-0.005,0.082,0.612,-132.754679,0.517
2017-02-01 05:20:49,RH0180003,18,House,3,1824-01-14,,,SURVEY FOR RDS. & CANALS,113,82,Public Works,,Budget Special Interest,,Government Management,0.384,-0.093,-0.032,-0.701,0.634,0.846,-72.190332,0.691
2017-02-01 05:20:49,RH0180004,18,House,4,1824-02-10,,,WHICH RDS. & CANALS,85,116,Public Works,,Budget Special Interest,,Government Management,0.39,-0.15,0.05,0.569,0.588,0.826,-83.857785,0.659
2017-02-01 05:20:49,RH0180005,18,House,5,1824-02-10,,,SURVEY FOR RDS. & CANALS (DELAY),86,113,Public Works,,Budget Special Interest,,Government Management,0.365,-0.106,0.046,0.623,0.616,0.834,-78.989383,0.672
2017-02-01 05:20:49,RH0180006,18,House,6,1824-02-10,,,SURVEY FOR RDS. & CANALS,116,86,Public Works,,Budget Special Interest,,Government Management,0.354,-0.088,-0.043,-0.618,0.605,0.832,-80.823855,0.67
2017-02-01 05:20:49,RH0180007,18,House,7,1824-02-20,,,PURCHASE GRIDLEY'S FARM AT WEST POINT,85,84,,,Defense Policy Budget,,Foreign and Defense Policy,-0.015,0.201,0.037,0.312,0.488,0.746,-92.792012,0.577
2017-02-01 05:20:49,RH0180008,18,House,8,1824-02-20,,,DO NOT PURCHASE GRIDLEY'S FARM,57,123,,,Defense Policy Budget,,Foreign and Defense Policy,-0.228,-0.394,0.075,0.06,0.175,0.739,-95.595511,0.588
2017-02-01 05:20:49,RH0180009,18,House,9,1824-02-23,,,INFO. ON TARIFF,86,94,Tariffs,,Regulation General Interest,,Government Management,0.092,0.323,-0.151,-0.28,0.709,0.861,-68.17753,0.685
2017-02-01 05:20:49,RH0180010,18,House,10,1824-02-24,,,INFO. ON TARIFF,96,92,Tariffs,,Regulation General Interest,,Government Management,0.468,-0.884,-0.069,-0.13,0.304,0.66,-116.746302,0.537
2017-02-01 05:20:49,RH0180011,18,House,11,1824-02-27,,,INFO. ON TARIFF $$,59,114,Tariffs,,Regulation General Interest,,Government Management,0.311,-0.95,0.079,0.199,0.102,0.694,-94.038546,0.581
2017-02-01 05:20:49,RH0180012,18,House,12,1824-03-11,,,ADJOURN AT 12:00,99,57,,,Internal Organization,,Miscellaneous Policy,0.512,-0.859,-0.029,-0.174,-0.018,0.628,-96.421589,0.539
2017-02-01 05:20:49,RH0180013,18,House,13,1824-03-13,,,CAN ALWAYS MOVE TO ADJOURN,95,89,,,Internal Organization,,Miscellaneous Policy,-0.145,0.878,0.094,0.173,0.438,0.728,-100.666259,0.579
2017-02-01 05:20:49,RH0180014,18,House,14,1824-03-13,,,"$26,000 FOR N. PORTICO WHITE HOUSE",64,115,Public Works,,Budget Special Interest,,Government Management,0.95,0.122,-0.036,0.019,0.0,0.642,-117.108838,0.52
2017-02-01 05:20:49,RH0180015,18,House,15,1824-03-18,,,DISPUTED ELEC. JOHN BAILEY,125,55,Disputed Elections to Congress,,Internal Organization,,Miscellaneous Policy,0.906,-0.225,0.043,-0.038,0.0,0.694,-117.072803,0.522
2017-02-01 05:20:49,RH0180016,18,House,16,1824-03-25,,,NO MOTION TO RISE B4 4:00,94,77,,,Internal Organization,,Miscellaneous Policy,0.402,-0.163,0.1,0.368,0.519,0.784,-80.668476,0.624
2017-02-01 05:20:49,RH0180017,18,House,17,1824-03-29,,,$2000 FOR ATTNY. TO VALUE BRIT. SEIZED SLAVES,61,113,Slavery,,Budget Special Interest,,Government Management,-0.629,-0.152,0.051,-0.124,-0.016,0.644,-111.264831,0.528
2017-02-01 05:20:49,RH0180018,18,House,18,1824-04-05,,,MEET AT 11AM,93,90,,,Internal Organization,,Miscellaneous Policy,0.445,-0.543,0.127,0.307,0.578,0.792,-88.167738,0.618
2017-02-01 05:20:49,RH0180019,18,House,19,1824-04-07,,,$.40 NOT $.80/SQ. YARD ON WOOLENS,101,99,Tariffs,,Regulation Special Interest,,Government Management,0.077,0.41,0.204,0.211,0.727,0.865,-63.428343,0.728
2017-02-01 05:20:49,RH0180020,18,House,20,1824-04-08,,,$.40 NOT $.80/SQ. YARD ON WOOLENS,110,95,Tariffs,,Regulation Special Interest,,Government Management,0.053,0.234,-0.168,-0.18,0.695,0.859,-73.700592,0.698
2017-02-01 05:20:49,RH0180021,18,House,21,1824-04-08,,,$.40 NOT $.80/SQ. YARD ON WOOLENS,101,104,Tariffs,,Regulation Special Interest,,Government Management,0.099,0.184,0.181,0.192,0.713,0.859,-69.512856,0.712
2017-02-01 05:20:49,RH0180022,18,House,22,1824-04-09,,,$.90 NOT $1.12/CWT ON IRON BARS,120,84,Tariffs,,Regulation Special Interest,,Government Management,0.353,-0.08,0.133,0.402,0.595,0.833,-84.741497,0.66
2017-02-01 05:20:49,RH0180023,18,House,23,1824-04-10,,,30% AD VALOREM ON ALL FIREARMS,123,59,Tariffs,,Regulation Special Interest,,Government Management,-0.12,0.987,-0.207,-0.007,0.542,0.852,-56.674653,0.732
2017-02-01 05:20:49,RH0180024,18,House,24,1824-04-10,,,REDUCE DUTY ON FRYING PANS,168,25,Tariffs,,Regulation Special Interest,,Government Management,-0.439,0.182,-0.159,0.08,0.04,0.876,-59.717543,0.734
2017-02-01 05:20:49,RH0180025,18,House,25,1824-04-10,,,$.10/GAL. ON MOLASSES,65,132,Tariffs,,Regulation Special Interest,,Government Management,-0.08,0.474,0.048,-0.251,0.185,0.731,-107.333727,0.58
2017-02-01 05:20:49,RH0180026,18,House,26,1824-04-10,,,SAME TARIFF $ AS PREMIUM ALLOWED IN FOR. COUNTRY,143,53,Tariffs,,Regulation General Interest,,Government Management,0.437,0.002,0.182,0.387,0.34,0.821,-66.473164,0.712
2017-02-01 05:20:49,RH0180027,18,House,27,1824-04-10,,,$.30/GAL ON WINE,66,126,Tariffs,,Regulation Special Interest,,Government Management,-0.063,0.998,0.069,-0.068,0.061,0.677,-114.300434,0.551
2017-02-01 05:20:49,RH0180028,18,House,28,1824-04-10,,,$.06 NOT $.045/SQ YARD ON COTTON BAGGING,97,99,Tariffs,,Regulation Special Interest,,Government Management,0.146,0.059,-0.152,-0.365,0.711,0.857,-73.003762,0.689
2017-02-01 05:20:49,RH0180029,18,House,29,1824-04-12,,,GRAD. RAISE DUTY ON WOOLENS TO 37.5%,103,97,Tariffs,,Regulation Special Interest,,Government Management,-0.217,0.906,-0.115,-0.222,0.505,0.76,-101.103609,0.603
2017-02-01 05:20:49,RH0180030,18,House,30,1824-04-12,,,NO DUTY ON WOOLENS,75,124,Tariffs,,Regulation Special Interest,,Government Management,-0.053,0.441,0.195,0.053,0.693,0.884,-59.262178,0.742
2017-02-01 05:20:49,RH0180031,18,House,31,1824-04-12,,,NO DUTY ON IRON BARS,81,114,Tariffs,,Regulation Special Interest,,Government Management,0.207,-0.375,0.138,0.311,0.531,0.805,-78.537608,0.668
2017-02-01 05:20:49,RH0180032,18,House,32,1824-04-12,,,$.25 NOT $.35/SQ. YARD ON COTTON GOODS,88,115,Tariffs,,Regulation Special Interest,,Government Management,-0.044,0.832,0.229,0.139,0.682,0.862,-59.562886,0.746
2017-02-01 05:20:49,RH0180033,18,House,33,1824-04-12,,,NO DUTY ON UNMANUF. WOOL,74,129,Tariffs,,Regulation Special Interest,,Government Management,-0.098,0.986,0.161,0.02,0.459,0.803,-83.552567,0.663
2017-02-01 05:20:49,RH0180034,18,House,34,1824-04-12,,,$.02/LB. BR. SUGAR $.03/LB. WH. SUGAR,89,102,Tariffs,,Regulation Special Interest,,Government Management,-0.501,0.841,0.057,0.181,0.191,0.623,-121.023258,0.531
2017-02-01 05:20:49,RH0180035,18,House,35,1824-04-13,,,GRAD. RAISE DUTY ON COT. BAG. TO $.055/SQ YARD,102,100,Tariffs,,Regulation Special Interest,,Government Management,0.232,-0.112,-0.14,-0.369,0.67,0.837,-80.431396,0.672
2017-02-01 05:20:49,RH0180036,18,House,36,1824-04-13,,,NO DUTY ON LIQUOR,80,123,Tariffs,,Regulation Special Interest,,Government Management,0.524,-0.496,0.054,0.366,0.325,0.734,-108.869855,0.585
2017-02-01 05:20:49,RH0180037,18,House,37,1824-04-13,,,DUTY ON BOOKS,184,12,Tariffs,,Regulation Special Interest,,Government Management,-0.939,0.096,-0.326,1.352,0.0,0.939,-37.473125,0.826
2017-02-01 05:20:49,RH0180038,18,House,38,1824-04-13,,,DUTY ON BR. SUGAR $.025/LB.,96,99,Tariffs,,Regulation Special Interest,,Government Management,-0.278,0.875,0.074,0.173,0.365,0.687,-114.346519,0.556
2017-02-01 05:20:49,RH0180039,18,House,39,1824-04-14,,,TARIFFS (DELAY),45,155,Tariffs,,Regulation General Interest,,Government Management,-0.178,0.984,0.202,-0.105,0.378,0.86,-57.607359,0.75
2017-02-01 05:20:49,RH0180040,18,House,40,1824-04-14,,,DUTY ON SALT $.10/BUSH.,81,121,Tariffs,,Regulation Special Interest,,Government Management,-0.179,0.984,0.148,0.123,0.519,0.807,-88.793098,0.644
2017-02-01 05:20:49,RH0180041,18,House,41,1824-04-14,,,TARIFFS,111,93,Tariffs,,Regulation General Interest,,Government Management,0.135,-0.08,-0.14,-0.323,0.602,0.819,-79.345835,0.678
2017-02-01 05:20:49,RH0180042,18,House,42,1824-04-14,,,TARIFFS,105,102,Tariffs,,Regulation General Interest,,Government Management,0.129,0.049,-0.168,-0.3,0.735,0.87,-72.449434,0.705
2017-02-01 05:20:49,RH0180043,18,House,43,1824-04-14,,,TARIFFS (DELAY),68,131,Tariffs,,Regulation General Interest,,Government Management,-0.064,-0.152,0.157,0.142,0.515,0.834,-69.104431,0.707
2017-02-01 05:20:49,RH0180044,18,House,44,1824-04-15,,,WHEN TO ADJOURN,100,99,,,Internal Organization,,Miscellaneous Policy,0.354,-0.403,0.125,0.311,0.586,0.794,-92.991694,0.627
2017-02-01 05:20:49,RH0180045,18,House,45,1824-04-16,,,TARIFFS,98,110,Tariffs,,Regulation General Interest,,Government Management,0.042,0.235,0.168,0.318,0.714,0.865,-71.62258,0.709
2017-02-01 05:20:49,RH0180046,18,House,46,1824-04-16,,,TARIFFS,110,97,Tariffs,,Regulation General Interest,,Government Management,0.181,-0.118,-0.148,-0.363,0.639,0.831,-77.921751,0.686
2017-02-01 05:20:49,RH0180047,18,House,47,1824-04-16,,,TARIFFS,108,102,Tariffs,,Regulation General Interest,,Government Management,-0.022,0.544,-0.164,-0.251,0.696,0.852,-78.18385,0.689
2017-02-01 05:20:49,RH0180048,18,House,48,1824-04-20,,,"$50,000 FOR FORTIF. NARRAGANSET BAY",62,121,,,Defense Policy Budget,,Foreign and Defense Policy,0.973,-0.231,-0.068,-0.259,0.097,0.694,-105.587149,0.562
2017-02-01 05:20:49,RH0180049,18,House,49,1824-04-21,,,1824 FORTIFS. APPS.,64,103,,,Defense Policy Budget,,Foreign and Defense Policy,-0.499,-0.867,0.074,-0.095,0.0,0.617,-105.033578,0.533
2017-02-01 05:20:49,RH0180050,18,House,50,1824-04-21,,,WHEN TO ADJOURN,87,77,,,Internal Organization,,Miscellaneous Policy,0.387,-0.529,-0.115,-0.305,0.455,0.744,-81.90094,0.607
2017-02-01 05:20:49,RH0180051,18,House,51,1824-04-23,,,CLAIM OF PENELOPE DENNY,62,97,,,Budget Special Interest,,Government Management,0.109,-0.994,-0.021,0.066,0.048,0.629,-105.741048,0.514
2017-02-01 05:20:49,RH0180052,18,House,52,1824-04-27,,,ADJOURN DAILY 2-4PM,100,69,,,Internal Organization,,Miscellaneous Policy,-0.156,0.953,0.039,0.139,0.145,0.651,-106.475474,0.533
2017-02-01 05:20:49,RH0180053,18,House,53,1824-04-28,,,CLAIM OF DANIEL CARROLL,78,77,,,Budget Special Interest,,Government Management,0.606,-0.543,0.012,0.027,0.065,0.535,-106.926608,0.502
2017-02-01 05:20:49,RH0180054,18,House,54,1824-04-29,,,CLAIM OF DANIEL CARROLL,82,79,,,Budget Special Interest,,Government Management,0.716,-0.127,0.008,0.058,0.152,0.584,-110.742621,0.503
2017-02-01 05:20:49,RH0180055,18,House,55,1824-05-03,,,WHEN TO ADJOURN,101,72,,,Internal Organization,,Miscellaneous Policy,0.21,0.978,0.024,0.037,0.0,0.584,-117.110964,0.508
2017-02-01 05:20:49,RH0180056,18,House,56,1824-05-05,,,RELIEF FOR IMPORTERS INTO CASTINE,88,87,,,Budget Special Interest,,Government Management,0.719,-0.695,0.04,0.141,0.149,0.577,-115.836976,0.516
2017-02-01 05:20:49,RH0180057,18,House,57,1824-05-05,,,$5M STOCK & TREATY W/SPAIN,53,105,,,Budget Special Interest,Foreign Policy Budget,Government Management,0.676,-0.25,-0.111,-0.444,0.226,0.741,-78.914515,0.607
2017-02-01 05:20:49,RH0180058,18,House,58,1824-05-07,,,$5M STOCK & TREATY W/SPAIN,118,66,,,Budget Special Interest,Foreign Policy Budget,Government Management,0.583,-0.108,0.082,0.319,0.258,0.734,-98.219872,0.586
2017-02-01 05:20:49,RH0180059,18,House,59,1824-05-11,,,IMPROVE NAVIG. ON OHIO & MISS. RIVS.,115,60,Public Works,,Budget General Interest,,Government Management,-0.613,0.729,-0.174,-0.665,0.4,0.794,-74.485984,0.653
2017-02-01 05:20:49,RH0180060,18,House,60,1824-05-11,,,WHEN TO ADJOURN,80,73,,,Internal Organization,,Miscellaneous Policy,0.727,-0.686,0.01,0.015,0.055,0.549,-105.505879,0.502
2017-02-01 05:20:49,RH0180061,18,House,61,1824-05-11,,,WHEN TO ADJOURN,99,87,,,Internal Organization,,Miscellaneous Policy,0.356,0.935,-0.007,0.036,0.103,0.581,-128.069894,0.502
2017-02-01 05:20:49,RH0180062,18,House,62,1824-05-13,,,STATUS OF LOTS IN D.C.,183,0,,,D. C.,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RH0180063,18,House,63,1824-05-14,,,TARIFFS,110,72,Tariffs,,Regulation General Interest,,Government Management,0.206,-0.489,-0.137,-0.251,0.514,0.808,-74.548786,0.664
2017-02-01 05:20:49,RH0180064,18,House,64,1824-05-14,,,25% AD VALOREM ON WOOLENS,97,96,Tariffs,,Regulation Special Interest,,Government Management,0.154,0.042,0.188,0.303,0.75,0.876,-64.998358,0.714
2017-02-01 05:20:49,RH0180065,18,House,65,1824-05-14,,,NO DUTY ON COTTON BAGGING,82,108,Tariffs,,Regulation Special Interest,,Government Management,0.103,-0.059,0.145,0.285,0.598,0.826,-72.969304,0.681
2017-02-01 05:20:49,RH0180066,18,House,66,1824-05-14,,,NO DUTY ON LIQUOR,107,84,Tariffs,,Regulation Special Interest,,Government Management,0.346,0.328,-0.003,0.262,0.226,0.66,-114.908603,0.548
2017-02-01 05:20:49,RH0180067,18,House,67,1824-05-14,,,25% AD VALOREM ON WOOLENS,94,100,Tariffs,,Regulation Special Interest,,Government Management,0.129,0.051,0.206,0.28,0.681,0.845,-60.767503,0.731
2017-02-01 05:20:49,RH0180068,18,House,68,1824-05-17,,,REDUCE DUTY ON WOOLENS,94,93,Tariffs,,Regulation Special Interest,,Government Management,0.149,0.062,1.196,1.764,0.774,0.888,-63.710268,0.711
2017-02-01 05:20:49,RH0180069,18,House,69,1824-05-17,,,NO DUTY ON COTTON BAGGING,87,103,Tariffs,,Regulation Special Interest,,Government Management,0.243,-0.292,0.145,0.321,0.598,0.816,-76.503343,0.669
2017-02-01 05:20:49,RH0180070,18,House,70,1824-05-18,,,WHEN TO ADJOURN,99,73,,,Internal Organization,,Miscellaneous Policy,0.668,0.744,0.035,-0.049,0.041,0.593,-114.998552,0.512
2017-02-01 05:20:49,RH0180071,18,House,71,1824-05-18,,,WHEN TO ADJOURN,71,114,,,Internal Organization,,Miscellaneous Policy,-0.645,0.764,0.047,0.08,0.07,0.643,-119.373566,0.525
2017-02-01 05:20:49,RH0180072,18,House,72,1824-05-18,,,$500 SALARY D.A. OF FLA. TERR.,77,62,,,Budget Special Interest,,Government Management,-0.061,0.184,-0.041,0.128,0.258,0.669,-89.130164,0.527
2017-02-01 05:20:49,RH0180073,18,House,73,1824-05-18,,,TARIFFS (DELAY),70,120,Tariffs,,Regulation General Interest,,Government Management,-0.079,0.997,0.193,0.027,0.614,0.858,-65.024749,0.71
2017-02-01 05:20:49,RH0180074,18,House,74,1824-05-18,,,TARIFFS,125,66,Tariffs,,Regulation General Interest,,Government Management,-0.076,0.898,-0.199,0.008,0.561,0.848,-61.18078,0.726
2017-02-01 05:20:49,RH0180075,18,House,75,1824-05-20,,,"CLAIM OF HEIRS OF DANIEL TOMPKINS, $15,000",76,61,,,Budget Special Interest,,Government Management,-0.265,0.925,0.044,0.152,0.262,0.672,-88.085899,0.526
2017-02-01 05:20:49,RH0180076,18,House,76,1824-05-21,,,POST ROADS,93,46,,,Government Organization,,Government Management,-0.321,-0.947,0.032,-0.213,0.043,0.683,-82.998402,0.55
2017-02-01 05:20:49,RH0180077,18,House,77,1824-05-21,,,"CLAIM OF HEIRS OF DANIEL TOMPKINS, $60,239",84,80,,,Budget Special Interest,,Government Management,-0.248,0.958,-0.049,-0.087,0.187,0.604,-106.654265,0.522
2017-02-01 05:20:49,RH0180078,18,House,78,1824-05-21,,,CLAIM OF HEIRS OF DANIEL TOMPKINS,115,16,,,Budget Special Interest,,Government Management,0.856,-0.086,0.152,0.255,0.062,0.885,-43.387491,0.718
2017-02-01 05:20:49,RH0180079,18,House,79,1824-05-26,,,FIX W. BOUNDARY OF ARK.,70,58,Public Lands,,Government Organization,,Government Management,0.023,0.069,-0.035,-0.325,0.328,0.695,-70.587607,0.576
2017-02-01 05:20:49,RH0180080,18,House,80,1824-12-22,,,"$200,000 TO GEN. LAFAYETTE & LAND",166,26,,,Budget Special Interest,,Government Management,0.463,0.886,0.099,0.203,0.077,0.874,-70.660769,0.692
2017-02-01 05:20:49,RH0180081,18,House,81,1824-12-23,,,OCCUPY MOUTH OF COL. RIVER,112,58,,,Defense Policy Budget,,Foreign and Defense Policy,-0.692,0.157,-0.048,-0.295,0.069,0.679,-97.743298,0.563
2017-02-01 05:20:49,RH0180082,18,House,82,1825-01-06,,,REPAY LOST PROP. DURING 1812 WAR,75,71,,,Defense Policy Budget,,Foreign and Defense Policy,0.15,0.989,-0.104,0.027,0.408,0.712,-80.211789,0.577
2017-02-01 05:20:49,RH0180083,18,House,83,1825-01-14,,,AUTH. STOCK SUBSCRIP. DEL. & CHES. CANAL COMP.,84,82,Public Works,,Government Organization,,Government Management,0.342,-0.107,-0.092,-0.541,0.63,0.817,-69.258495,0.659
2017-02-01 05:20:49,RH0180084,18,House,84,1825-01-18,,,CONTINUE CUMBERLAND RD.,94,82,Public Works,,Budget Special Interest,,Government Management,-0.511,0.453,-0.078,-0.61,0.556,0.793,-84.681308,0.618
2017-02-01 05:20:49,RH0180085,18,House,85,1825-01-19,,,REPAY LOST PROP. DURING 1812 WAR,122,69,,,Defense Policy Budget,,Foreign and Defense Policy,-0.298,0.935,-0.101,-0.093,0.368,0.771,-99.634056,0.594
2017-02-01 05:20:49,RH0180086,18,House,86,1825-01-21,,,AUTH. STOCK SUBSCRIP. DEL. & CHES. CANAL COMP.,113,74,Public Works,,Government Organization,,Government Management,0.131,-0.133,-0.07,-0.447,0.542,0.821,-79.12286,0.655
2017-02-01 05:20:49,RH0180087,18,House,87,1825-01-21,,,CONTINUE CUMBERLAND RD.,97,72,Public Works,,Budget Special Interest,,Government Management,-0.303,0.272,-0.065,-0.477,0.514,0.795,-78.378317,0.629
2017-02-01 05:20:49,RH0180088,18,House,88,1825-02-04,,,INVEST. SPEAKER OF HOUSE,63,144,Impeachments and Investigations,,Internal Organization,,Miscellaneous Policy,-0.308,0.653,0.039,-0.142,-0.032,0.686,-119.348279,0.562
2017-02-01 05:20:49,RH0180089,18,House,89,1825-02-04,,,INVEST. SPEAKER OF HOUSE,77,127,Impeachments and Investigations,,Internal Organization,,Miscellaneous Policy,-0.029,1.0,0.053,-0.061,0.079,0.652,-122.779893,0.548
2017-02-01 05:20:49,RH0180090,18,House,90,1825-02-04,,,INVEST. SPEAKER OF HOUSE,125,69,Impeachments and Investigations,,Internal Organization,,Miscellaneous Policy,-0.049,0.999,-0.047,0.076,0.176,0.707,-115.92661,0.55
2017-02-01 05:20:49,RH0180091,18,House,91,1825-02-23,,,PAY INTEREST DUE VA.,89,80,,,Budget Special Interest,,Government Management,0.518,0.644,0.043,-0.133,0.282,0.663,-105.507694,0.536
2017-02-01 05:20:49,RH0180092,18,House,92,1825-02-23,,,PAY INTEREST DUE VA.,133,36,,,Budget Special Interest,,Government Management,-0.197,-0.98,0.044,-0.313,-0.028,0.777,-73.777397,0.646
2017-02-01 05:20:49,RH0180093,18,House,93,1825-02-25,,,INCORP. CHES. & OHIO CANAL COMP.,117,34,,,Government Organization,,Government Management,-0.114,-0.459,-0.034,-0.469,0.176,0.811,-54.149851,0.699
2017-02-01 05:20:49,RH0180094,18,House,94,1825-03-01,,,"BUILD 5 SLOOPS FOR $425,000",72,76,,,Defense Policy Budget,,Foreign and Defense Policy,-0.217,-0.976,0.057,-0.045,0.286,0.655,-89.833887,0.545
2017-02-01 05:20:49,RS0180001,18,Senate,1,1823-12-22,,,TREATY W/ SEMINOLE INDIANS,0,36,Treaties,,Indian Affairs,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RS0180002,18,Senate,2,1823-12-22,,,TREATY W/ SEMINOLE INDIANS,0,36,Treaties,,Indian Affairs,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
2017-02-01 05:20:49,RS0180003,18,Senate,3,1823-12-23,,,TREATY W/ SEMINOLE INDIANS,0,31,Treaties,,Indian Affairs,,Government Management,0.0,0.0,0.0,0.0,,,0.0,
