date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-02-02 23:33:55,RS1150001,115,Senate,1,2017-01-04,,On the Motion to Proceed,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,48,,,,,,-0.101,0.995,-0.364,-0.309,0.958,0.98,-6.726,0.934
2017-02-02 23:33:55,RS1150002,115,Senate,2,2017-01-05,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,52,,,,,,0.032,-0.137,0.676,-0.571,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150003,115,Senate,3,2017-01-09,,On the Amendment,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,14,83,,,,,,0.689,-0.725,-0.52,-0.39,0.429,0.918,-14.302,0.863
2017-02-02 23:33:55,RS1150004,115,Senate,4,2017-01-09,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,47,,,,,,-0.082,0.997,0.654,0.782,0.979,0.99,-4.557,0.954
2017-02-02 23:33:55,RS1150005,115,Senate,5,2017-01-10,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,31,67,,,,,,-0.323,-0.946,-0.249,1.037,0.387,0.806,-30.137,0.735
2017-02-02 23:33:55,RS1150006,115,Senate,6,2017-01-10,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,0.128,-0.141,0.697,0.349,1.0,1.0,-0.594,0.994
2017-02-02 23:33:55,RS1150007,115,Senate,7,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,47,51,,,,,,0.032,-0.136,0.675,-0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150008,115,Senate,8,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,50,,,,,,0.128,-0.141,0.697,0.349,1.0,1.0,-0.594,0.994
2017-02-02 23:33:55,RS1150009,115,Senate,9,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.032,-0.136,-0.675,0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150010,115,Senate,10,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.003,1.0,0.794,0.899,0.915,0.959,-8.255,0.919
2017-02-02 23:33:55,RS1150011,115,Senate,11,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.032,-0.136,-0.675,0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150012,115,Senate,12,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,50,,,,,,0.128,-0.141,0.697,0.349,1.0,1.0,-0.594,0.994
2017-02-02 23:33:55,RS1150013,115,Senate,13,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,50,48,,,,,,0.076,0.997,-0.376,-0.074,0.958,0.98,-5.355,0.947
2017-02-02 23:33:55,RS1150014,115,Senate,14,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,50,,,,,,-0.026,1.0,0.388,0.246,0.958,0.98,-5.699,0.944
2017-02-02 23:33:55,RS1150015,115,Senate,15,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,-0.081,0.997,0.654,0.773,0.98,0.99,-4.598,0.954
2017-02-02 23:33:55,RS1150016,115,Senate,16,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,47,51,,,,,,-0.228,0.974,-0.3,-0.488,0.872,0.939,-15.434,0.854
2017-02-02 23:33:55,RS1150017,115,Senate,17,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.032,-0.136,-0.675,0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150018,115,Senate,18,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,48,50,,,,,,-0.026,1.0,0.388,0.246,0.958,0.98,-5.699,0.944
2017-02-02 23:33:55,RS1150019,115,Senate,19,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,0.14,-0.156,-0.28,0.225,0.959,0.98,-8.311,0.919
2017-02-02 23:33:55,RS1150020,115,Senate,20,2017-01-11,,On the Amendment,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,46,52,,,,,,-0.406,0.914,0.128,0.217,0.457,0.745,-49.055,0.606
2017-02-02 23:33:55,RS1150021,115,Senate,21,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,47,51,,,,,,0.032,-0.136,0.675,-0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150022,115,Senate,22,2017-01-11,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,52,46,,,,,,-0.034,0.038,-0.706,-0.217,0.978,0.99,-1.456,0.985
2017-02-02 23:33:55,RS1150023,115,Senate,23,2017-01-12,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,-0.081,0.997,0.654,0.773,0.98,0.99,-4.598,0.954
2017-02-02 23:33:55,RS1150024,115,Senate,24,2017-01-12,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,47,,,,,,0.032,-0.136,-0.675,0.572,1.0,1.0,-0.143,0.999
2017-02-02 23:33:55,RS1150025,115,Senate,25,2017-01-12,,On the Motion,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,49,49,,,,,,-0.081,0.997,0.654,0.773,0.98,0.99,-4.598,0.954
2017-02-02 23:33:55,RS1150026,115,Senate,26,2017-01-12,,On the Concurrent Resolution,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,51,48,,,,,,-0.101,0.995,-0.364,-0.309,0.958,0.98,-6.726,0.934
2017-02-02 23:33:55,RS1150027,115,Senate,27,2017-01-12,,On Passage of the Bill,A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,81,17,,,,,,-0.246,-0.969,-0.247,-0.276,0.118,0.847,-24.347,0.78
2017-02-02 23:33:55,RS1150028,115,Senate,28,2017-01-17,,On Passage of the Bill,To ensure the Government Accountability Office has adequate access to information.,99,0,,,,,,0,0,0,0,,,0,
2017-02-02 23:33:55,RS1150029,115,Senate,29,2017-01-20,,On the Nomination,"James Mattis, of Washington, to be Secretary of Defense",98,1,,,,,,0,0,0,0,,,0,
2017-02-02 23:33:55,RS1150030,115,Senate,30,2017-01-20,,On the Nomination,"John F. Kelly, of Virginia, to be Secretary of Homeland Security",88,11,,,,,,-0.202,0.979,-0.274,0.394,0.182,0.909,-21.21,0.807
2017-02-02 23:33:55,RS1150031,115,Senate,31,2017-01-20,,On the Motion to Proceed,"Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",89,8,,,,,,-0.377,-0.926,-1.182,-1.491,0.125,0.928,-15.872,0.849
2017-02-02 23:33:55,RS1150032,115,Senate,32,2017-01-23,,On the Nomination,"Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",66,32,,,,,,-0.243,0.97,-0.249,-0.019,0.625,0.878,-26.839,0.76
2017-02-02 23:33:55,RS1150033,115,Senate,33,2017-01-24,,On the Nomination,"Nikki R. Haley, of South Carolina, to be the Representative of the United States of America to the United Nations, with the rank and status of Ambassador, and the Representative of the United States of America in the Security Council of the United Nations",96,4,,,,,,-0.153,0.988,-0.162,0.499,0.0,0.96,-13.768,0.871
2017-02-02 23:33:55,RS1150034,115,Senate,34,2017-01-30,,On the Cloture Motion,"Rex W. Tillerson, of Texas, to be Secretary of State",56,43,,,,,,-0.127,-0.083,-0.716,0.002,0.907,0.96,-6.9,0.933
2017-02-02 23:33:55,RS1150035,115,Senate,35,2017-01-31,,On the Nomination,"Elaine L. Chao, of Kentucky, to be Secretary of Transportation",93,6,,,,,,-0.107,-0.994,-0.215,-0.83,0.333,0.96,-11.642,0.889
2017-02-02 23:33:55,RS1150036,115,Senate,36,2017-02-01,,On the Nomination,"Rex W. Tillerson, of Texas, to be Secretary of State",56,43,,,,,,-0.128,-0.057,-0.713,0.063,0.907,0.96,-6.535,0.936
2017-02-02 23:33:55,RS1150037,115,Senate,37,2017-02-01,,On the Motion to Table,"Rex W. Tillerson, of Texas, to be Secretary of State",55,43,,,,,,-0.128,-0.057,-0.713,0.063,0.907,0.959,-6.535,0.935
2017-02-02 23:33:55,RS1150038,115,Senate,38,2017-02-01,,On the Motion to Proceed,"Rex W. Tillerson, of Texas, to be Secretary of State",53,44,,,,,,-0.052,0.047,-0.275,0.147,0.932,0.969,-10.142,0.901
2017-02-02 23:33:55,RS1150039,115,Senate,39,2017-02-01,,On the Motion,"Rex W. Tillerson, of Texas, to be Secretary of State",54,44,,,,,,0.02,0.601,-0.354,0.281,0.932,0.969,-9.476,0.908
2017-02-02 23:33:55,RS1150040,115,Senate,40,2017-02-01,,On the Motion to Proceed,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",52,47,,,,,,0.033,-0.131,-0.675,0.57,1.0,1.0,-0.145,0.999
2017-02-02 23:33:55,RS1150041,115,Senate,41,2017-02-01,,On the Motion to Proceed,"Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",55,42,,,,,,-0.123,0.073,-0.658,-0.647,0.976,0.99,-3.239,0.967
2017-02-02 23:33:55,RS1150042,115,Senate,42,2017-02-01,,On the Motion to Proceed,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,56,42,,,,,,-0.123,0.073,-0.658,-0.647,0.976,0.99,-3.239,0.967
2017-02-02 23:33:55,RS1150043,115,Senate,43,2017-02-02,,On Passage of the Bill,Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,54,45,,,,,,-0.085,0.058,-0.546,-1.11,0.978,0.99,-3.925,0.961
2017-02-02 23:33:55,RS1150044,115,Senate,44,2017-02-02,,On the Motion to Proceed,"Jeff Sessions, of Alabama, to be Attorney General",53,45,,,,,,-0.068,0.065,-0.681,-0.492,0.978,0.99,-2.145,0.978
2017-02-02 23:33:55,RS1150045,115,Senate,45,2017-02-02,,On the Motion to Proceed,"Jeff Sessions, of Alabama, to be Attorney General",51,47,,,,,,-0.069,-0.2,-0.603,0.929,0.979,0.99,-2.003,0.98
2017-02-02 23:33:55,RS1150046,115,Senate,46,2017-02-02,,On the Motion to Proceed,"Thomas Price, of Georgia, to be Secretary of Health and Human Services",51,48,,,,,,0.033,-0.132,-0.676,0.57,1.0,1.0,-0.146,0.999
2017-02-02 23:33:55,RS1150047,115,Senate,47,2017-02-02,,On the Motion to Proceed,"Thomas Price, of Georgia, to be Secretary of Health and Human Services",52,47,,,,,,-0.069,-0.2,-0.603,0.929,0.979,0.99,-2.003,0.98
2017-02-02 23:33:55,RS1150048,115,Senate,48,2017-02-02,,On the Motion to Proceed,"Steven T. Mnuchin, of California, to be Secretary of the Treasury",51,48,,,,,,0.033,-0.132,-0.676,0.57,1.0,1.0,-0.146,0.999
2017-02-02 23:33:55,RS1150049,115,Senate,49,2017-02-02,,On the Motion to Proceed,"Steven T. Mnuchin, of California, to be Secretary of the Treasury",52,48,,,,,,0.033,-0.132,-0.676,0.57,1.0,1.0,-0.146,0.999
2017-02-02 23:33:55,RS1150050,115,Senate,50,2017-02-02,,On the Motion to Proceed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".",52,48,,,,,,0.033,-0.132,-0.676,0.57,1.0,1.0,-0.146,0.999
